id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Weapon_Bow_001,Arco de viajero,Traveler's Bow,Arc de voyageur,여행자의 활,旅人の弓,Походный лук,Reizigersboog,Arco da viandante,Reisebogen,旅人之弓,旅人之弓,Arc de voyageur,Arco de viajero,Traveler's Bow
Weapon_Bow_002,Arco de soldado,Soldier’s Bow,Arc de soldat,병사의 활,兵士の弓,Боевой лук,Soldatenboog,Arco da soldato,Soldatenbogen,士兵之弓,士兵之弓,Arc de soldat,Arco de soldado,Soldier’s Bow
Weapon_Bow_003,Arco boko punzante,Spiked Boko Bow,Arc à pointes boko,가시 보코활,トゲボコ弓,Колючий боколук,Boko-bottenboog,Arco boblin puntuto,Stachel-Bokbogen,尖刺波克弓,尖刺波克弓,Arc à pointes boko,Arco boko punzante,Spiked Boko Bow
Weapon_Bow_004,Arco boko,Boko Bow,Arc boko,보코활,ボコ弓,Боколук,Boko-boog,Arco boblin,Bokbogen,波克弓,波克弓,Arc boko,Arco boko,Boko Bow
Weapon_Bow_006,Arco lizal,Lizal Bow,Arc lézal,리잘보우,リザルボウ,Завролук,Lizal-boog,Arco lizal,Echsalbogen,蜥蜴弓,蜥蜴弓,Arc lézal,Arco lizal,Lizal Bow
Weapon_Bow_009,Arco de centaleón,Lynel Bow,Arc de Centaléo,라이넬의 활,ライネルの弓,Лук левра,Lynel-boog,Arco lynel,Leunenbogen,莱尼尔之弓,萊尼爾之弓,Arc de Lynel,Arco de centaleón,Lynel Bow
Weapon_Bow_011,Arco lizal reforzado,Strengthened Lizal Bow,Arc lézal robuste,강화 리잘보우,強化リザルボウ,Усиленный завролук,Verstevigde Lizal-boog,Arco lizal rinforzato,Starker Echsalbogen,强力蜥蜴弓,強力蜥蜴弓,Arc lézal robuste,Arco lizal reforzado,Strengthened Lizal Bow
Weapon_Bow_013,Arco del bosque,Forest Dweller's Bow,Arc des sylvains,숲에 사는 자의 활,森人の弓,Лесной лук,Woudboog,Arco silvano,Waldbogen,森民之弓,森民之弓,Arc des sylvains,Arco del bosque,Forest Dweller's Bow
Weapon_Bow_014,Arco zora,Zora Bow,Arc Zora,조라의 활,ゾーラの弓,Лук зора,Zora-boog,Arco Zora,Zora-Bogen,卓拉之弓,卓拉之弓,Arc zora,Arco zora,Zora Bow
Weapon_Bow_015,Arco gerudo,Gerudo Bow,Arc Gerudo,겔드의 활,ゲルドの弓,Лук герудо,Gerudo-boog,Arco Gerudo,Gerudo-Bogen,格鲁德之弓,格魯德之弓,Arc gerudo,Arco gerudo,Gerudo Bow
Weapon_Bow_016,Arco de golondrina,Swallow Bow,Arc de l'hirondelle,제비의 활,ツバメの弓,Ласточий лук,Zwaluwboog,Arco rondine,Schwalbenbogen,飞燕弓,飛燕弓,Arc de l'hirondelle,Arco de golondrina,Swallow Bow
Weapon_Bow_017,Arco de halcón,Falcon Bow,Arc du faucon,매의 활,ハヤブサの弓,Соколиный лук,Valkenboog,Arco falcone,Falkenbogen,游隼弓,遊隼弓,Arc du faucon,Arco de halcón,Falcon Bow
Weapon_Bow_026,Arco bestial,Mighty Lynel Bow,Arc du roi bestial,야수왕의 활,獣王の弓,Лук могучего левра,Machtige Lynel-boog,Arco bestiale,Bestienbogen,兽王弓,獸王弓,Arc du roi bestial,Arco bestial,Mighty Lynel Bow
Weapon_Bow_027,Arco boko de dragón,Dragonbone Boko Bow,Draco-arc boko,용골 보코활,竜骨ボコ弓,Драконий боколук,Boko-drakenboog,Dragoarco boblin,Knochen-Bokbogen,龙骨波克弓,龍骨波克弓,Draco-arc boko,Arco boko de dragón,Dragonbone Boko Bow
