id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Enemy_Chuchu_Junior,Chuchu,Chuchu,Chuchu,츄츄,チュチュ,Чучу,Chuchu,Chuchu,Schleim,丘丘,丘丘,Chuchu,Chuchu,Chuchu
Enemy_Chuchu_Fire_Junior,Chuchu ígneo,Fire Chuchu,Chuchu de feu,파이어 츄츄,ファイアチュチュ,Огненный чучу,Vuur-Chuchu,Chuchu di fuoco,Feuer-Schleim,火丘丘,火丘丘,Chuchu de feu,Chuchu ígneo,Fire Chuchu
Enemy_Chuchu_Ice_Junior,Chuchu gélido,Ice Chuchu,Chuchu de glace,아이스 츄츄,アイスチュチュ,Ледяной чучу,IJs-Chuchu,Chuchu di ghiaccio,Eis-Schleim,冰丘丘,冰丘丘,Chuchu de glace,Chuchu gélido,Ice Chuchu
Enemy_Chuchu_Electric_Junior,Chuchu eléctrico,Electric Chuchu,Chuchu électrique,일렉트로 츄츄,エレキチュチュ,Грозовой чучу,Elektro-Chuchu,Chuchu elettrico,Elektro-Schleim,电丘丘,電丘丘,Chuchu électrique,Chuchu eléctrico,Electric Chuchu
Enemy_Keese,Keese,Keese,Chauve-souris,키이스,キース,Кус,Keese,Pipistrello,Flederbeißer,蝙蝠,蝙蝠,Chauve-souris,Keese,Keese
Enemy_Keese_Fire,Keese de fuego,Fire Keese,Chauve-souris de feu,파이어 키이스,ファイアキース,Огненный кус,Vuur-Keese,Pipistrello igneo,Feuer-Flederbeißer,火蝙蝠,火蝙蝠,Chauve-souris de feu,Keese de fuego,Fire Keese
Enemy_Keese_Ice,Keese de hielo,Ice Keese,Chauve-souris de glace,아이스 키이스,アイスキース,Ледяной кус,IJs-Keese,Pipistrello glaciale,Eis-Flederbeißer,冰蝙蝠,冰蝙蝠,Chauve-souris de glace,Keese de hielo,Ice Keese
Enemy_Keese_Electric,Keese eléctrico,Electric Keese,Chauve-souris électrique,일렉트로 키이스,エレキース,Грозовой кус,Elektro-Keese,Pipistrello elettrico,Elektro-Flederbeißer,电蝙蝠,電蝙蝠,Chauve-souris électrique,Keese eléctrico,Electric Keese
Enemy_Octarock,Octorok acuático,Water Octorok,Octoflot,워터 옥타,水オクタ,Водный осьминос,Water-Octorok,Octacqua,Wasser-Oktorok,水八爪怪,水八爪怪,Octoflot,Octorok acuático,Water Octorok
Enemy_Octarock_Forest,Octorok forestal,Forest Octorok,Octobuisson,포레스트 옥타,森オクタ,Лесной осьминос,Woud-Octorok,Octocespo,Wald-Oktorok,森八爪怪,森八爪怪,Octofourré,Octorok forestal,Forest Octorok
Enemy_Octarock_Stone,Octorok pétreo,Rock Octorok,Octopierre,록 옥타,岩オクタ,Скальный осьминос,Steen-Octorok,Octosasso,Fels-Oktorok,岩八爪怪,岩八爪怪,Octopierre,Octorok pétreo,Rock Octorok
Enemy_Octarock_Snow,Octorok gélido,Snow Octorok,Octoneige,스노 옥타,雪オクタ,Снежный осьминос,Sneeuw-Octorok,Octoneve,Schnee-Oktorok,雪八爪怪,雪八爪怪,Octoneige,Octorok gélido,Snow Octorok
Enemy_Octarock_Desert,Octorok del tesoro,Treasure Octorok,Octocoffre,트레저 옥타,宝オクタ,Осьминос-кладовик,Schatkist-Octorok,Octoscrigno,Schatz-Oktorok,宝八爪怪,寶八爪怪,Octocoffre,Octorok del tesoro,Treasure Octorok
Enemy_Wizzrobe_Fire,Wizzrobe de fuego,Fire Wizzrobe,Sorcier de feu,파이어 위즈로브,ファイアウィズローブ,Огненный чаромант,Vuur-Wizzrobe,Sciamanix del fuoco,Feuer-Pyromagus,火焰长袍魔法师,火焰長袍魔法師,Sorcier de feu,Invocantis de fuego,Fire Wizzrobe
Enemy_Wizzrobe_Ice,Wizzrobe de hielo,Ice Wizzrobe,Sorcier de glace,아이스 위즈로브,アイスウィズローブ,Ледяной чаромант,IJs-Wizzrobe,Sciamanix del ghiaccio,Eis-Pyromagus,冰雪长袍魔法师,冰雪長袍魔法師,Sorcier de glace,Invocantis de hielo,Ice Wizzrobe
Enemy_Wizzrobe_Electric,Wizzrobe eléctrico,Electric Wizzrobe,Sorcier électrique,일렉트로 위즈로브,エレキウィズローブ,Грозовой чаромант,Elektro-Wizzrobe,Sciamanix elettrico,Elektro-Pyromagus,电击长袍魔法师,電擊長袍魔法師,Sorcier électrique,Invocantis eléctrico,Electric Wizzrobe
Enemy_Wizzrobe_Fire_Senior,Wizzrobe abrasador,Meteo Wizzrobe,Sorcier brasero,메테오 위즈로브,メテオウィズローブ,Метеор-чаромант,Meteoor-Wizzrobe,Sciamanix delle meteore,Meteor-Pyromagus,陨石长袍魔法师,隕石長袍魔法師,Sorcier brasero,Invocantis abrasador,Meteo Wizzrobe
Enemy_Wizzrobe_Ice_Senior,Wizzrobe glacial,Blizzrobe,Sorcier blizzaro,프리즈 위즈로브,フリーズウィズローブ,Чаромант мороза,Sneeuwstorm-Wizzrobe,Sciamanix delle bufere,Polar-Pyromagus,冰冻长袍魔法师,冰凍長袍魔法師,Sorcier blizzaro,Invocantis glacial,Blizzrobe
