id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Item_Boiled_01,Huevo cocido,Hard-Boiled Egg,Œuf dur,삶은 알,ゆでタマゴ,Вареное яйцо,Gekookt ei,Uovo bollito,Gekochtes Ei,水煮蛋,水煮蛋,Œuf dur,Huevo cocido,Hard-Boiled Egg
Item_ChilledFish_01,Lubina helada,Frozen Bass,Perche congelée,냉동 배스,凍結バス,Мерзлый окунь,Bevroren baars,Aspio congelato,Gefrorener Barsch,冰冻鲈鱼,冰凍鱸魚,Perche congelée,Lubina helada,Frozen Bass
Item_ChilledFish_02,Salmón ardoroso helado,Frozen Hearty Salmon,Saumon max congelé,냉동 맥스연어,凍結マックスサーモン,Мерзлая чудо-семга,Bevroren hartenzalm,Salmone vivax congelato,Gefrorener Maxi-Lachs,冰冻生命鲑鱼,冰凍生命鮭魚,Saumon max congelé,Salmón vivaz helado,Frozen Hearty Salmon
Item_ChilledFish_03,Trucha helada,Frozen Trout,Truite congelée,냉동 송어,凍結マス,Мерзлая форель,Bevroren forel,Trota congelata,Gefrorene Forelle,冰冻鳟鱼,冰凍鱒魚,Truite congelée,Trucha helada,Frozen Trout
Item_ChilledFish_04,Carpa helada,Frozen Carp,Carpe congelée,냉동 잉어,凍結ゴイ,Мерзлый сазан,Bevroren karper,Carpa congelata,Gefrorener Karpfen,冰冻鲤鱼,冰凍鯉魚,Carpe congelée,Carpa helada,Frozen Carp
Item_ChilledFish_05,Besugo helado,Frozen Porgy,Daurade congelée,냉동 도미,凍結ダイ,Мерзлый пагр,Bevroren brasem,Orata congelata,Gefrorener Schnapper,冰冻鲷鱼,冰凍鯛魚,Daurade congelée,Dorada helada,Frozen Porgy
Item_ChilledFish_06,Lubina longeva helada,Frozen Hearty Bass,Perche max congelée,냉동 맥스배스,凍結マックスバス,Мерзлый чудо-окунь,Bevroren hartenbaars,Aspio vivax congelato,Gefrorener Maxi-Barsch,冰冻生命鲈鱼,冰凍生命鱸魚,Perche max congelée,Lubina vivaz helada,Frozen Hearty Bass
Item_ChilledFish_07,Cangrejo helado,Frozen Crab,Crabe congelé,냉동 게,凍結ガニ,Мерзлый краб,Bevroren krab,Granchio congelato,Gefrorene Krabbe,冰冻螃蟹,冰凍螃蟹,Crabe congelé,Cangrejo helado,Frozen Crab
Item_ChilledFish_08,Caracol aguzado helado,Frozen River Snail,Escargot congelé,냉동 우렁이,凍結タニシ,Мерзлый тихоход,Bevroren sluipslak,Lumaca silente congelata,Gefrorene Schnecke,冰冻田螺,冰凍田螺,Escargot congelé,Caracol sigiloso helado,Frozen River Snail
Item_ChilledFish_16,Arowana helado,Frozen Arowana,Arowana congelé,냉동 아로와나,凍結アロワナ,Мерзлая аравана,Bevroren arowana,Arowana congelato,Gefrorener Arowana,冰冻骨舌鱼,冰凍骨舌魚,Arowana congelé,Arowana helado,Frozen Arowana
Item_ChilledFish_18,Pez cavernario helado,Frozen Cave Fish,Troglodus congelé,냉동 동굴어,凍結ホラウオ,Мерзлый пещерный вспышник,Bevroren grotvis,Cavernario congelato,Gefrorener Höhlenfisch,冰冻霍拉鱼,冰凍霍拉魚,Troglodus congelé,Pez cavernario helado,Frozen Cave Fish
Item_Chilled_01,Filete helado,Icy Meat,Viande congelée,냉동 짐승 고기,凍結ケモノ肉,Мерзлое филе,Bevroren wild,Carne congelata,Gefrorenes Wild,冰冻兽肉,冰凍獸肉,Viande congelée,Carne de caza helada,Icy Meat
Item_Chilled_02,Lomo helado,Icy Prime Meat,Viande fine congelée,냉동 상급 짐승 고기,凍結上ケモノ肉,Мерзлый огузок,Bevroren wild XL,Carne congelata XL,Gefrorenes Edelwild,高级冰冻兽肉,高級冰凍獸肉,Viande fine congelée,Carne de caza XL helada,Icy Prime Meat
Item_Chilled_03,Pierna helada,Icy Gourmet Meat,Viande divine congelée,냉동 특급 짐승 고기,凍結極上ケモノ肉,Мерзлая рулька,Bevroren wild XXL,Carne congelata XXL,Gefrorenes Luxuswild,顶级冰冻兽肉,頂級冰凍獸肉,Viande divine congelée,Carne de caza XXL helada,Icy Gourmet Meat
Item_Chilled_04,Jamoncito de ave helado,Frozen Bird Drumstick,Volaille congelée,냉동 새 고기,凍結トリ肉,Мерзлая ножка,Bevroren gevogelte,Pollame congelato,Gefrorenes Geflügel,冰冻禽肉,冰凍禽肉,Volaille congelée,Carne de ave helada,Frozen Bird Drumstick
Item_Chilled_05,Muslo de ave helado,Frozen Bird Thigh,Volaille fine congelée,냉동 상급 새 고기,凍結上トリ肉,Мерзлый окорок,Bevroren gevogelte XL,Pollame congelato XL,Gefrorenes Edelgeflügel,高级冰冻禽肉,高級冰凍禽肉,Volaille fine congelée,Carne de ave XL helada,Frozen Bird Thigh
Item_Chilled_06,Ave entera helada,Frozen Whole Bird,Volaille divine congelée,냉동 특급 새 고기,凍結極上トリ肉,Мерзлая тушка,Bevroren gevogelte XXL,Pollame congelato XXL,Gefrorenes Luxusgeflügel,顶级冰冻禽肉,頂級冰凍禽肉,Volaille divine congelée,Carne de ave XXL helada,Frozen Whole Bird
Item_Cook_A_01,Brocheta de hongos,Mushroom Skewer,Brochette de champis,버섯 꼬치구이,串焼きキノコ,Сочные грибы,Paddenstoelenspies,Spiedino di funghi,Pilzspieß,烤蘑菇串,烤蘑菇串,Brochette de champis,Brocheta de setas,Mushroom Skewer
Item_Cook_A_02,Hongos al vapor,Steamed Mushrooms,Champis vapeur,버섯쌈구이,包み焼きキノコ,Грибы на пару,Gestoomde paddenstoelen,Funghi al cartoccio,Dampfpilze,蒸蘑菇,蒸蘑菇,Champis vapeur,Setas al vapor,Steamed Mushrooms
Item_Cook_A_03,Frutas al vapor,Steamed Fruit,Fruits vapeur,과일찜,蒸し焼き果実,Фрукты на пару,Gestoomde vruchten,Frutta al cartoccio,Dampfobst,蒸水果,蒸水果,Fruits vapeur,Frutas al vapor,Steamed Fruit
Item_Cook_A_04,Pescado al vapor,Steamed Fish,Poisson vapeur,생선쌈구이,包み焼き魚,Рыба на пару,Gestoomde vis,Pesce al cartoccio,Dampffisch,蒸鱼,蒸魚,Poisson vapeur,Pescado al vapor,Steamed Fish
Item_Cook_A_05,Carne al vapor,Steamed Meat,Viande vapeur,고기쌈구이,包み焼き肉,Мясо на пару,Gestoomd vlees,Carne al cartoccio,Dampffleisch,蒸肉,蒸肉,Viande vapeur,Carne al vapor,Steamed Meat
Item_Cook_A_07,Ensalada de frutas y hongos,Fruit and Mushroom Mix,Assiette fruits et champis,과일 버섯무침,果実のキノコあえ,Грибы с фруктами,Paddenstoelenvruchtenmix,Insalata di frutta e funghi,Obst mit Pilzen,水果拌蘑菇,水果拌蘑菇,Assiette fruits et champis,Salteado de frutas y setas,Fruit and Mushroom Mix
Item_Cook_A_08,Brocheta de pescado y hongos,Fish and Mushroom Skewer,Délice des bois au poisson,생선 꼬치구이와 버섯,串焼き魚キノコ添え,Грибы с рыбой,Paddenstoelenvisspies,Spiedino di pesce e funghi,Fischspieß mit Pilzen,烤鱼蘑菇串,烤魚蘑菇串,Délice des bois au poisson,Brocheta de pescado y setas,Fish and Mushroom Skewer
Item_Cook_A_09,Brocheta de carne y hongos,Meat and Mushroom Skewer,Délice des bois à la viande,고기 꼬치구이와 버섯,串焼き肉キノコ添え,Грибы с мясом,Paddenstoelenvleesspies,Spiedino di carne e funghi,Fleischspieß mit Pilzen,烤肉蘑菇串,烤肉蘑菇串,Délice des bois à la viande,Brocheta de carne y setas,Meat and Mushroom Skewer
Item_Cook_A_10,Omelet,Omelet,Omelette nature,오믈렛,たまご焼き,Омлет,Omelet,Omelette,Omelett,煎蛋卷,煎蛋卷,Omelette nature,Tortilla,Omelet
Item_Cook_A_11,Hongos confitados,Glazed Mushrooms,Champis marinés,달게 조린 버섯,甘露煮キノコ,Грибы в сиропе,Geglaceerde paddenstoelen,Funghi glassati,Festtagspilze,甘露炖蘑菇,甘露燉蘑菇,Champis marinés,Setas glaseadas,Glazed Mushrooms
Item_Cook_A_12,Carne confitada,Glazed Meat,Viande marinée,달게 조린 고기,甘露煮肉,Мясо в сиропе,Geglaceerd vlees,Carne glassata,Festtagsgulasch,甘露炖肉,甘露燉肉,Viande marinée,Carne glaseada,Glazed Meat
Item_Cook_A_13,Pescado confitado,Glazed Seafood,Poisson mariné,달게 조린 생선,甘露煮魚,Рыба в сиропе,Geglaceerde vis,Pesce glassato,Festtagsfisch,甘露炖鱼,甘露燉魚,Poisson mariné,Pescado glaseado,Glazed Seafood
Item_Cook_A_14,Verduras confitadas,Glazed Veggies,Légumes marinés,달게 조린 야채,甘露煮野菜,Овощи в сиропе,Geglaceerde groente,Verdure glassate,Festtagsgemüse,甘露炖蔬菜,甘露燉蔬菜,Légumes marinés,Verduras glaseadas,Glazed Veggies
Item_Cook_B_01,Verduras salteadas,Fried Wild Greens,Poêlée végétale,야채구이,焼き山菜,Салат,Gebakken groente,Verdure rosolate,Wildgemüse,炒野菜,炒野菜,Poêlée végétale,Salteado de montaña,Fried Wild Greens
Item_Cook_B_02,Frutas pochadas,Simmered Fruit,Chutney de fruits,과일전골,煮込み果実,Фрукт-микс,Gestoofd fruit,Frutta cotta,Kochobst,炖水果,燉水果,Chutney de fruits,Frutas pochadas,Simmered Fruit
Item_Cook_B_05,Brocheta de pescado,Fish Skewer,Brochette de poisson,생선 꼬치구이,串焼き魚,Хруст-рыба,Visspies,Spiedino di pesce,Fischspieß,烤鱼,烤魚,Brochette de poisson,Brocheta de pescado,Fish Skewer
Item_Cook_B_06,Brocheta de carne,Meat Skewer,Brochette de viande,고기 꼬치구이,串焼き肉,Шиш-кебаб,Vleesspies,Spiedino di carne,Fleischspieß,烤肉串,烤肉串,Brochette de viande,Brocheta de carne,Meat Skewer
Item_Cook_B_11,Surtido de verduras salteadas,Copious Fried Wild Greens,Grande poêlée végétale,야채구이 곱빼기,山盛焼き山菜,Салат XL,Veel gebakken groente,Verdure rosolate XL,Wildgemüse-Schmaus,大份炒野菜,大份炒野菜,Grande poêlée végétale,Salteado de montaña variado,Copious Fried Wild Greens
Item_Cook_B_12,Surtido de frutas pochadas,Copious Simmered Fruit,Grand chutney de fruits,과일전골 곱빼기,山盛煮込み果実,Фрукт-микс XL,Veel gestoofd fruit,Frutta cotta XL,Kochobst-Schmaus,大份炖水果,大份燉水果,Grand chutney de fruits,Frutas variadas pochadas,Copious Simmered Fruit
Item_Cook_B_13,Surtido de brochetas de hongos,Copious Mushroom Skewers,Brochettes de champis,버섯구이 곱빼기,山盛焼きキノコ,Сочные грибы XL,Veel paddenstoelenspiezen,Doppio spiedino di funghi,Pilzspießteller,大份烤蘑菇串,大份烤蘑菇串,Brochettes de champis,Brochetas de setas variadas,Copious Mushroom Skewers
Item_Cook_B_15,Surtido de brochetas de pescado,Copious Seafood Skewers,Brochettes de poisson,생선 꼬치구이 곱빼기,山盛串焼き魚,Хруст-рыба XL,Veel visspiezen,Doppio spiedino di pesce,Riesenfischspieße,大份烤鱼,大份烤魚,Brochettes de poisson,Brochetas de pescado variado,Copious Seafood Skewers
Item_Cook_B_16,Surtido de brochetas de carne,Copious Meat Skewers,Brochettes de viande,고기 꼬치구이 곱빼기,山盛串焼き肉,Шиш-кебаб XL,Veel vleesspiezen,Doppio spiedino di carne,Riesenfleischspieße,大份烤肉串,大份烤肉串,Brochettes de viande,Brochetas de carne variada,Copious Meat Skewers
Item_Cook_B_17,Carne con pescado,Meat and Seafood Fry,Grillade terre-mer,고기와 생선구이,山海焼き,Хруст-микс,Vis-en-vleesmix,Grigliata mista,Grillteller,海陆煎烤,海陸煎烤,Grillade terre-mer,Carne con pescado,Meat and Seafood Fry
Item_Cook_B_18,Carne con pescado exquisita,Prime Meat and Seafood Fry,Grillade terre-mer fine,상급 고기와 생선구이,上山海焼き,Сочный хруст-микс,Vis-en-vleesmix XL,Grigliata mista XL,Edelgrillteller,高级海陆煎烤,高級海陸煎烤,Grillade terre-mer fine,Carne con pescado XL,Prime Meat and Seafood Fry
Item_Cook_B_19,Carne con pescado gourmet,Gourmet Meat and Seafood Fry,Grillade terre-mer divine,특급 고기와 생선구이,極上山海焼き,Жирный хруст-микс,Vis-en-vleesmix XXL,Grigliata mista XXL,Luxusgrillteller,顶级海陆煎烤,頂級海陸煎烤,Grillade terre-mer divine,Carne con pescado XXL,Gourmet Meat and Seafood Fry
Item_Cook_B_20,Calabaza rellena,Meat-Stuffed Pumpkin,Citrouille farcie,고기를 넣은 호박,肉詰めカボチャ,Тыква с мясом,Gevulde pompoen,Carne in zucca,Fleischkürbis,南瓜酿肉,南瓜鑲肉,Citrouille farcie,Calabaza rellena,Meat-Stuffed Pumpkin
Item_Cook_B_21,Pimientos salteados,Sautéed Peppers,Piments sautés,따끈따끈볶음,炒めポカポカ,Вареные перцы,Gebakken pepers,Caldoperoni saltati,Bratchilis,炒暖暖草果,炒暖暖草果,Piments sautés,Bayas salteadas,Sautéed Peppers
Item_Cook_B_22,Frutos secos salteados,Sautéed Nuts,Sauté de noix,너츠볶음,ナッツ炒め,Вареные орехи,Geroosterde noten,Frutta secca tostata,Röstnüsse,炒坚果,炒堅果,Sauté de fruits de la forêt,Semillas salteadas,Sautéed Nuts
Item_Cook_B_23,Brocheta marítima,Seafood Skewer,Brochette de la mer,해산물 꼬치구이,魚貝串焼き,Морской микс,Zeevruchtenspies,Spiedino di frutti di mare,Meeresfrüchtespieß,串烤海鲜,烤海鮮串,Brochette de la mer,Brocheta de frutos del mar,Seafood Skewer
Item_Cook_C_16,Tónico feérico,Fairy Tonic,Élixir féérique,요정의 활력수,妖精の力水,Эликсир фей,Feeënwater,Tonico fatato,Feenwasser,妖精回力水,妖精回力水,Élixir féérique,Tónico feérico,Fairy Tonic
Item_Cook_C_17,Elixir,Elixir,Remède,물약,薬,Зелье,Drankje,Pozione,Medizin,药,藥,Remède,Elixir,Elixir
Item_Cook_D_01,Hongos a la parrilla,Salt-Grilled Mushrooms,Champis salés,버섯 소금구이,塩焼きキノコ,Грибы с солью,Gegrilde paddenstoelen,Funghi al sale,Schmorpilze,盐烤蘑菇,鹽烤蘑菇,Champis salés,Setas a la parrilla,Salt-Grilled Mushrooms
Item_Cook_D_02,Verduras a la parrilla,Salt-Grilled Greens,Légumes salés,야채 소금구이,塩焼き山菜,Горный салат,Gegrilde groente,Verdure al sale,Schmorgemüse,盐烤野菜,鹽烤野菜,Légumes salés,Verduras a la parrilla,Salt-Grilled Greens
