id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
CheckPoint046,Raíz de Aap'es,Apapes Lightroot,Racine Apap Es,파파세의 뿌리,パパセの根,Корень Апапэс,Apapes-wortel,Radice di Apapes,Papez-Wurzel,帕帕世之根,帕帕世之根,Racine Apap Es,Raíz de Aap'es,Apapes Lightroot
CheckPoint091,Raíz de Abai'iqat,Nabahi-ikat Lightroot,Racine Onabahi Iqat,노바하이키타의 뿌리,ノバハイキタの根,Корень Онабахи-Икат,Nabahi-ikat-wortel,Radice di Nabah Qat,Nabahi’iqat-Wurzel,诺巴哈伊奇塔之根,諾巴哈伊奇塔之根,Racine Onabahi Iqat,Raíz de Abai'iqat,Nabahi-ikat Lightroot
CheckPoint070,Raíz de Aduon,Aduon Lightroot,Racine Ad Uön,다우노의 뿌리,ダウノの根,Корень Адуон,Aduon-wortel,Radice di Aduon,Adu-on-Wurzel,达乌诺之根,達烏諾之根,Racine Ad Uön,Raíz de Aduon,Aduon Lightroot
CheckPoint134,Raíz de Ag'iqoi,Agihi-ihcoj Lightroot,Racine Agihi Itoj,가히이치죠의 뿌리,ガヒイチョジの根,Корень Агихи-Итёзд,Agihi-ihcoj-wortel,Radice di Agihi Hoj,Agihi-isdoi-Wurzel,嘎喜伊奇乔之根,嘎喜伊奇喬之根,Racine Agihi Itoj,Raíz de Ag'iqoi,Agihi-ihcoj Lightroot
CheckPoint037,Raíz de Aisaag,Sasag Lightroot,Racine Asas Ag,사사가의 뿌리,ササガの根,Корень Асасаг,Sasag-wortel,Radice di Nassag,Zazag-Wurzel,萨萨嘎之根,薩薩嘎之根,Racine Asas Ag,Raíz de Aisaag,Sasag Lightroot
CheckPoint092,Raíz de Amo'ne,Amo-ne Lightroot,Racine Amo Ne,마오엔의 뿌리,マオンエの根,Корень Амо-Нэ,Amone-wortel,Radice di Hamo Hne,Ahmo-ne-Wurzel,马欧恩艾之根,馬歐恩艾之根,Racine Amo Ne,Raíz de Amo'ne,Amo-ne Lightroot
CheckPoint041,Raíz de Anehi,A-nehi Lightroot,Racine An Ehi,아음헤이의 뿌리,アンヘイの根,Корень А-Нэхи,A-nehi-wortel,Radice di Ia Nehi,A-nehi-Wurzel,阿恩黑伊之根,阿恩黑伊之根,Racine An Ehi,Raíz de Anehi,A-nehi Lightroot
CheckPoint077,Raíz de Anu'zimaq,Nuzimak Lightroot,Racine Anuz Imaq,나즈미카의 뿌리,ナズミカの根,Корень Ануздимак,Nuzimak-wortel,Radice di Anuz Imaq,Nusimak-Wurzel,纳诸米卡之根,納諸米卡之根,Racine Anuz Imaq,Raíz de Anu'zimaq,Nuzimak Lightroot
CheckPoint012,Raíz de Aqimnas,Kimnaz Lightroot,Racine Aqlaq Imnaz,카카미음자의 뿌리,カカミンザの根,Корень Окакимазд,Kimnaz-wortel,Radice di Qim Haz,Akkimnas-Wurzel,卡卡米恩扎之根,卡卡米恩扎之根,Racine Aqlaq Imnaz,Raíz de Aqimnas,Kimnaz Lightroot
CheckPoint067,Raíz de As'oaw,So-oaw Lightroot,Racine Aso Oäu,사오오와의 뿌리,サオオワの根,Корень Асо-Оав,So-oaw-wortel,Radice di Has Oaw,Azo-oaw-Wurzel,萨欧欧瓦之根,薩歐歐瓦之根,Racine Aso Oäu,Raíz de As'oaw,So-oaw Lightroot
CheckPoint007,Raíz de Auori'as,Worihas Lightroot,Racine Au Olihas,와로히사의 뿌리,ワロヒサの根,Корень Авор-Ихас,Worihas-wortel,Radice di Aworihas,Aworihaz-Wurzel,瓦罗喜萨之根,瓦羅喜薩之根,Racine Au Olihas,Raíz de Auori'as,Worihas Lightroot
CheckPoint010,Raíz de Ba'tures,Camobatures Lightroot,Racine Itam Obatles,치마보타루세의 뿌리,チマボタルセの根,Корень Итамоба-Турэс,Camobatures-wortel,Radice di Hcam Batles,Stam-batrez-Wurzel,奇马波塔鲁世之根,奇馬波塔魯世之根,Racine Itam Obatles,Raíz de Ba'tures,Camobatures Lightroot
CheckPoint139,Raíz de Cauh'isar,Kawisar Lightroot,Racine Aqau Isal,카와시라의 뿌리,カワシラの根,Корень Акависар,Kawisar-wortel,Radice di Kawis Har,Akaw-isar-Wurzel,卡瓦希拉之根,卡瓦希拉之根,Racine Aqau Isal,Raíz de Qau'isar,Kawisar Lightroot
CheckPoint020,Raíz de Cauha'canix,Kawakanis Lightroot,Racine Aqau Aqanis,카와카나시의 뿌리,カワカナシの根,Корень Акаваканис,Kawakanis-wortel,Radice di Akawakanis,Akaw-aqanis-Wurzel,卡瓦卡纳希之根,卡瓦卡納希之根,Racine Aqau Aqanis,Raíz de Awa'qanis,Kawakanis Lightroot
CheckPoint011,Raíz de Cauha'gom,Kawagom Lightroot,Racine Aqau Agom,카와가모의 뿌리,カワガモの根,Корень Акавагом,Kawagom-wortel,Radice di Qawagom,Akaw-agom-Wurzel,卡瓦嘎摩之根,卡瓦嘎摩之根,Racine Aqau Agom,Raíz de Qawa'gom,Kawagom Lightroot
CheckPoint137,Raíz de Cauhamit,Kawamit Lightroot,Racine Aqau Amit,카와마티의 뿌리,カワマイテの根,Корень Акавамит,Kawamit-wortel,Radice di Kawam Hiht,Akaw-amit-Wurzel,卡瓦马提之根,卡瓦馬提之根,Racine Aqau Amit,Raíz de Qauamit,Kawamit Lightroot
CheckPoint122,Raíz de Eisoh'se,Sohse Lightroot,Racine Es Oxe,세쇼에의 뿌리,セヨシエの根,Корень Эсёсэ,Sohse-wortel,Radice di Esoh Ihse,Ezohse-Wurzel,世修艾之根,世修艾之根,Racine Es Oxe,Raíz de Eisoh'se,Sohse Lightroot
CheckPoint111,Raíz de Em'uhatur,Mu-ufatur Lightroot,Racine Emuüf Atur,메우후타루의 뿌리,メウフタルの根,Корень Эму-Уфатур,Mu-ufatur-wortel,Radice di Emu Fatur,Mu-ufatur-Wurzel,每乌富塔鲁之根,每烏富塔魯之根,Racine Emuüf Atur,Raíz de Em'uhatur,Mu-ufatur Lightroot
CheckPoint073,Raíz de Emi'isi,Misisi Lightroot,Racine Emis Isi,메시시이의 뿌리,メシシイの根,Корень Эмисиси,Misisi-wortel,Radice di Emih Sihsi,Missi-Wurzel,每希希伊之根,每希希伊之根,Racine Emis Isi,Raíz de Emi'isi,Misisi Lightroot
CheckPoint115,Raíz de Equ'pup,Eknupup Lightroot,Racine Eq Nupup,케음푸푸의 뿌리,ケンププの根,Корень Экнупуп,Eknupup-wortel,Radice di Neq Nuprup,Eknupup-Wurzel,凯恩普普之根,凱恩普普之根,Racine Eq Nupup,Raíz de Equ'pup,Eknupup Lightroot
CheckPoint006,Raíz de Esi'ner,Zi-ner Lightroot,Racine Ezi Nel,제이음레의 뿌리,ゼインレの根,Корень Эзди-Нэр,Zi-ner-wortel,Radice di Ezi Ner,Esi-ner-Wurzel,杰伊恩雷之根,傑伊恩雷之根,Racine Ezi Nel,Raíz de Esi'ner,Zi-ner Lightroot
CheckPoint029,Raíz de Gad'osi,Gadohsi Lightroot,Racine Nuq Adoxi,음구다쇼이의 뿌리,グダヨシイの根,Корень Нугадёси,Gadohsi-wortel,Radice di Nugad Hsi,Nugdohsi-Wurzel,恩古达修伊之根,恩古達修伊之根,Racine Nuq Adoxi,Raíz de Gad'osi,Gadohsi Lightroot
CheckPoint033,Raíz de Gataraq,Gataharak Lightroot,Racine Igat Ahalaq,기타하라카의 뿌리,ギタハラカの根,Корень Игатахарак,Gataharak-wortel,Radice di Igatah Arak,Igatah-arak-Wurzel,基塔哈拉卡之根,基塔哈拉卡之根,Racine Igat Ahalaq,Raíz de Gataraq,Gataharak Lightroot
CheckPoint048,Raíz de Iausus,Iayusus Lightroot,Racine Iäy Usus,이야스스의 뿌리,イヤススの根,Корень Йяу-Сус,Iayusus-wortel,Radice di Iay Usus,Jayuzuz-Wurzel,伊亚斯斯之根,伊亞斯斯之根,Racine Iäy Usus,Raíz de Iausus,Iayusus Lightroot
CheckPoint120,Raíz de Ibu'sus,Busus Lightroot,Racine Eïb Usus,에비스스의 뿌리,エビススの根,Корень Эибусус,Busus-wortel,Radice di Eibusus,E’ibzuz-Wurzel,艾毕斯斯之根,艾畢斯斯之根,Racine Eïb Usus,Raíz de Ibu'sus,Busus Lightroot
CheckPoint123,Raíz de Imaio,Oyimay Lightroot,Racine Oïm Ayo,오미야오의 뿌리,オミヤオの根,Корень Оимяо,Oyimay-wortel,Radice di Hoym Ayoh,O’imajo-Wurzel,欧米亚欧之根,歐米亞歐之根,Racine Oïm Ayo,Raíz de Imaio,Oyimay Lightroot
CheckPoint039,Raíz de Imaqa'rus,Kimakarut Lightroot,Racine Aqimaq Alut,카미카라츠의 뿌리,カミカラツの根,Корень Акимакаруц,Kimakarut-wortel,Radice di Akimakarust,Akimaqarut-Wurzel,卡米卡拉兹之根,卡米卡拉茲之根,Racine Aqimaq Alut,Raíz de Imaqa'rus,Kimakarut Lightroot
CheckPoint142,Raíz de Ini'soi,Nisoij Lightroot,Racine Oïnis Oiz,오니시오지의 뿌리,オニシオジの根,Корень Оинисо-Изд,Oinisoij-wortel,Radice di Tinis Uoj,Hinisoijd-Wurzel,欧尼希欧吉之根,歐尼希歐吉之根,Racine Oïnis Oiz,Raíz de Ini'soi,Nisoij Lightroot
CheckPoint002,Raíz de Iom'usis,Mustis Lightroot,Racine Iömut Is,이모츠시의 뿌리,イモツシの根,Корень Йомуцис,Mustis-wortel,Radice di Iomustis,I’omutis-Wurzel,伊摩兹希之根,伊摩茲希之根,Racine Iömut Is,Raíz de Iom'usis,Mustis Lightroot
