id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
LookingForLightSpot,La puerta cerrada,The Closed Door,La porte close,닫혀 있는 문,閉ざされた扉,«Закрытые врата»,De deur der beproevingen,Il portale chiuso,Die verschlossene Pforte,紧闭之门,緊閉的大門,La porte close,La puerta cerrada,The Closed Door
GOToTheCastleOfHyrule,¡Al reino de Hyrule!,To the Kingdom of Hyrule,Retour à Hyrule,하이랄 대지로,ハイラルの大地へ,«В королевство Хайрул»,Naar koninkrijk Hyrule,Verso il regno di Hyrule,Auf nach Hyrule!,前往海拉鲁大地,前往海拉魯大地,Retour en Hyrule,¡Al reino de Hyrule!,To the Kingdom of Hyrule
SurveyOfFourVillages,Investiga los extraños sucesos,Regional Phenomena,Enquêtes régionales,네 지방의 이변 조사,四地方の異変調査,«Исследование аномалий»,Onderzoek in vier regio's,I fenomeni nelle quattro regioni,Untersuche die vier Regionen,调查四地区的异变,四個地區的異變調查,Enquêtes régionales,Investiga los extraños sucesos,Regional Phenomena
ClueTotheSixthSage,Los cinco sabios,Find the Fifth Sage,Le cinquième Sage,다섯 번째 현자를 찾아라,五人目の賢者を探せ,«В поисках пятого Мудреца»,Zoektocht naar de vijfde Wijze,I cinque saggi,Finde den fünften Weisen,寻找第五位贤者,尋找第五位賢者,Le cinquième Sage,Los cinco sabios,Find the Fifth Sage
HyruleCastleIncident,Los sucesos en el castillo de Hyrule,Crisis at Hyrule Castle,Étrange phénomène au château,하이랄 성의 이변,ハイラル城の異変,«Аномалия замка Хайрул»,Verschijnselen bij het kasteel,Il castello sospeso,Das schwebende Schloss,海拉鲁城堡的异变,海拉魯城堡的異變,Étrange phénomène au château,Los sucesos en el castillo de Hyrule,Crisis at Hyrule Castle
MasterSwordClues,El rastro de la Espada Maestra,Trail of the Master Sword,Sur les traces de l'épée de légende,마스터 소드의 행방,マスターソードの手掛かり,«Как добыть Высший Меч?»,Waar is het Meesterzwaard?,Indizi sulla spada suprema,Wo ist das Master-Schwert?,大师之剑的线索,大師之劍的線索,Sur les traces de l'épée de légende,El rastro de la Espada Maestra,Trail of the Master Sword
GetMasterSword,La espada desaparecida,Recovering the Hero's Sword,La lame perdue du héros,잃어버린 용사의 검,失われた勇者の剣,«Утерянный меч героя»,Het verloren zwaard van de held,La spada perduta,Das verlorene Heldenschwert,丢失的勇者之剑,失落的勇者之劍,La lame perdue du héros,La espada desaparecida,Recovering the Hero's Sword
SageOfWind,"Tureli, en la aldea orni",Tulin of Rito Village,"Babil, du village Piaf",리토의 마을의 튤리,リトの村のチューリ,«Тюлин из деревни рито»,Tulin uit het Rito-dorp,Tulin del borgo dei Rito,Tulin aus dem Dorf der Orni,利特村的丘栗,利特村的丘栗,"Babil, du village Piaf","Tureli, en el poblado orni",Tulin of Rito Village
SageOfFire,"Yunobo, en Ciudad Goron",Yunobo of Goron City,"Yunobo, du village Goron",고론 시티의 윤돌,ゴロンシティのユン坊,«Юнобо из Горонграда»,Yunobo uit Goron-stad,Yunobo della città dei Goron,Yunobo aus Goronia,鼓隆城的阿沅,鼓隆城的阿沅,"Yunobo, du village Goron","Yunobo, en Ciudad Goron",Yunobo of Goron City
CleanStatue,La estatua cubierta de fango,The Sludge-Covered Statue,La statue couverte de vase,진흙에 파묻힌 조각상,ヘドロに埋もれた石像,«Статуя в слизи»,Een standbeeld onder het slijk,La statua coperta dalla melma,Bedeckt von Schlamm,被淤泥埋没的石像,被淤泥埋沒的石像,La statue couverte de vase,La estatua cubierta de fango,The Sludge-Covered Statue
DividedSlate,El monumento destruido,The Broken Slate,La gravure cassée,부서진 비석,割れた石碑,«Разрушенный монумент»,Het gebroken monument,Il monumento distrutto,Die zerbrochene Steintafel,断裂的石碑,碎裂的石碑,La gravure cassée,El monumento destruido,The Broken Slate
RepairArmor,Reparando la armadura zora,Restoring the Zora Armor,Pour restaurer l'armure Zora,조라의 갑옷을 고치려면,ゾーラの鎧を直すには,«Починка доспехов зора»,Reparatie van het Zora-pantser,L'armatura Zora da riparare,Reparatur der Zora-Rüstung,修复卓拉铠甲,修復卓拉鎧甲,Pour restaurer l'armure zora,Reparando la armadura zora,Restoring the Zora Armor
WaterBridgePlace,Pistas hacia el cielo,Clues to the Sky,La piste vers le ciel,하늘로 가기 위한 단서,空への手掛かり,«Подсказки о пути в небо»,Van het water tot in de lucht,Indizi che puntano al cielo,Hinweise über den Himmel,前往天空的线索,前往天空的線索,La piste vers le ciel,Pistas hacia el cielo,Clues to the Sky
SageOfZora,"Sidon, en la región de los zora",Sidon of the Zora,"Sidon, du domaine des Zoras",조라의 마을의 시드,ゾーラの里のシド,«Сидон из владений зора»,Sidon van het Zora-paleis,Sidon del villaggio degli Zora,Sidon aus dem Dorf der Zoras,卓拉领地的希多,卓拉領地的希多,"Sidon, du domaine Zora","Sidon, en la región de los zora",Sidon of the Zora
SageOfGerudo,"Riju, en la Ciudadela Gerudo",Riju of Gerudo Town,"Riju, de la cité Gerudo",겔드의 마을의 루쥬,ゲルドの街のルージュ,«Риджу из города герудо»,Riju van het Gerudo-fort,Riju della cittadella Gerudo,Riju aus Gerudo-Stadt,格鲁德小镇的露珠,格魯德小鎮的露珠,"Riju, de la cité Gerudo","Riju, en la Ciudadela Gerudo",Riju of Gerudo Town
GotoFironeZonauRemains,El secreto de las ruinas anulares,Secret of the Ring Ruins,Le secret des vestiges circulaires,고리 유적의 비밀,ワッカ遺跡の秘密,«Тайна Колесных руин»,Het geheim van de ringruïnes,Il segreto delle rovine anulari,Geheimnis der Kranzruinen,环卡遗迹的秘密,環卡遺跡的秘密,Le secret des vestiges circulaires,El secreto de las ruinas anulares,Secret of the Ring Ruins
SageOfSoul,Consejo de tiempos pretéritos,Guidance from Ages Past,La voix venue du passé,태고의 인도,太古よりの導き,«Из глубины веков»,Een gids uit het verleden,Una guida dall'antichità,Weisung aus uralten Zeiten,来自太古的指引,來自太古的指引,La voix venue du passé,Consejo de tiempos pretéritos,Guidance from Ages Past
GetCamera,Los habitantes del subsuelo,Camera Work in the Depths,Des gens dans les profondeurs?,지저인을 찍자!,地底人をウツシエに！,«Следы цивилизации в кавернах»,Nederrijkbewoners op de foto!,Gli abitanti del sottosuolo,Das Volk im Untergrund,给地底人拍照！,拍下地底人！,Des gens dans les profondeurs ?,Los habitantes del subsuelo,Camera Work in the Depths
DeepHoleSurvey2,El templo del subsuelo,A Mystery in the Depths,Le temple des profondeurs,지저 신전에 잠든 수수께끼,地底神殿に眠る謎,«Загадка храма в кавернах»,De tempel van het nederrijk,Il mistero del tempio del sottosuolo,Der Tempel im Untergrund,沉睡于地底神殿的谜团,沉睡於地底神殿之謎,Le temple des profondeurs,El templo del subsuelo,A Mystery in the Depths
GroundPaintingAir01,Impa y el geoglifo,Impa and the Geoglyphs,Impa et les géoglyphes,임파와 지상화,インパと地上絵,«Импа и геоглиф»,Impa en de geoglief,Impa e i geoglifi,Impa und die Geoglyphen,英帕与地上图画,英帕與地上圖畫,Impa et les géoglyphes,Impa y el geoglifo,Impa and the Geoglyphs
MemoryOfTheDragon,Las lágrimas de dragón,The Dragon's Tears,Les larmes du dragon,용의 눈물,龍の泪,«Слезы дракона»,De drakentranen,Le lacrime del drago,Die Tränen des Drachen,龙之泪,龍之淚,Les larmes du dragon,Las lágrimas de dragón,The Dragon's Tears
