id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Dungeon027,Santuario de Anedamiq,Anedamimik Shrine,Sanctuaire Aneda Mimiqa,아네다미미카의 사당,アネダミミカの祠,Святилище Анэдамимика,Tempel van Anedamimik,Sacrario di Aned Amim,Andamimka-Schrein,阿聂达米米卡神庙,阿聶達米米卡神廟,Sanctuaire Aneda Mimiqa,Santuario de Anedamiq,Anedamimik Shrine
Dungeon049,Santuario de Apog'eq,Apogek Shrine,Sanctuaire Apo Geqe,아포게케의 사당,アポゲケの祠,Святилище Апогэкэ,Tempel van Apogek,Sacrario di Apo Geq,Apogeke-Schrein,阿珀盖凯神庙,阿珀蓋凱神廟,Sanctuaire Apo Geqe,Santuario de Apog'eq,Apogek Shrine
Dungeon116,Santuario de Bamitoq,Bamitok Shrine,Sanctuaire Vami Toqa,바미토카의 사당,バミトカの祠,Святилище Бамитока,Tempel van Bamitok,Sacrario di Bamitoqa,Bamitok-Schrein,巴米托卡神庙,巴米托卡神廟,Sanctuaire Vami Toqa,Santuario de Bamitoq,Bamitok Shrine
Dungeon051,Santuario de Domizu'in,Domizuin Shrine,Sanctuaire Domi Zuïno,도미즈이노의 사당,ドミズイノの祠,Святилище Домидзуй-Но,Tempel van Domizuin,Sacrario di Domi Zun,Domsu’ino-Schrein,多米诸伊诺神庙,多米諸伊諾神廟,Sanctuaire Domi Zuïno,Santuario de Domizu'in,Domizuin Shrine
Dungeon092,Santuario de En'oma,En-oma Shrine,Sanctuaire En Oma,엔오마의 사당,エンオマの祠,Святилище Эн-Ома,Tempel van Enoma,Sacrario di Enh Omah,En-omha-Schrein,艾恩欧马神庙,艾恩歐馬神廟,Sanctuaire En Oma,Santuario de En'oma,En-oma Shrine
Dungeon031,Santuario de Eqotiu,Ekochiu Shrine,Sanctuaire Eqo Tiü,에코치우의 사당,エコチウの祠,Святилище Экотиу,Tempel van Ekochiu,Sacrario di Ekochi Yu,Ekotsi’u-Schrein,艾可奇乌神庙,艾可奇烏神廟,Sanctuaire Eqo Tiü,Santuario de Eqotiu,Ekochiu Shrine
Dungeon122,Santuario de Es'hosie,Eshos Shrine,Sanctuaire Exo Se,에쇼세의 사당,エショセの祠,Святилище Эсёсэ,Tempel van Eshos,Sacrario di Eshi Hose,Eshoze-Schrein,艾修世神庙,艾修世神廟,Sanctuaire Exo Se,Santuario de Es'hosie,Eshos Shrine
Dungeon072,Santuario de Eu'toum,Eutoum Shrine,Sanctuaire Eüto Ume,에우토우메의 사당,エウトウメの祠,Святилище Эуто-Умэ,Tempel van Eutoum,Sacrario di Eto Ume,Ejut-ume-Schrein,艾乌托乌每神庙,艾烏托烏每神廟,Sanctuaire Eüto Ume,Santuario de Eu'toum,Eutoum Shrine
Dungeon128,Santuario de Ga'ahis,Ga-ahisas Shrine,Sanctuaire Gaahi Sasa,가아히사사의 사당,ガアヒササの祠,Святилище Га-Ахисаса,Tempel van Ga-ahisas,Sacrario di Gah Isal,Ga’ahizaz-Schrein,嘎阿喜萨萨神庙,嘎阿喜薩薩神廟,Sanctuaire Gaahi Sasa,Santuario de Ga'ahis,Ga-ahisas Shrine
Dungeon037,Santuario de Gaasia,Gasas Shrine,Sanctuaire Ga Sasa,가사사의 사당,ガササの祠,Святилище Гасаса,Tempel van Gasas,Sacrario di Gassan,Gazaz-Schrein,嘎萨萨神庙,嘎薩薩神廟,Sanctuaire Ga Sasa,Santuario de Gaasia,Gasas Shrine
Dungeon117,Santuario de Ganotza,Ganos Shrine,Sanctuaire Gano Sa,가노사의 사당,ガノサの祠,Святилище Ганоса,Tempel van Ganos,Sacrario di Gah Nosa,Ganoza-Schrein,嘎诺萨神庙,嘎諾薩神廟,Sanctuaire Gano Sa,Santuario de Ganoza,Ganos Shrine
