id,es-419,en-GB,fr-CA,ko,ja,ru,nl,it,de,zh,zh-Hant,fr,es,en
Tower01,Torre de mapeo - fuerte vigía,Lookout Landing Skyview Tower,Tour du fort de guet,감시 요새 조망대,監視砦の鳥望台,Вышка Дозорного форта,Uitkijktoren (uitkijkkamp),Torre del forte di guardia,Turm am Spähposten,监视堡垒 鸟望台,監視堡壘 鳥望台,Tour du fort de guet,Atalaya del fuerte vigía,Lookout Landing Skyview Tower
Tower02,Torre de mapeo - monte Labla,Lindor's Brow Skyview Tower,Tour du mont Labulat,라브라산 조망대,ラブラー山 鳥望台,Вышка Уха Линдера,Uitkijktoren (Linder-rots),Torre del monte Labul,Turm auf dem Tilio-Berg,拉布拉山 鸟望台,拉布拉山 鳥望台,Tour du mont Labulat,Atalaya del monte Labla,Lindor's Brow Skyview Tower
Tower03,Torre de mapeo - estepa de Arkpin,Pikida Stonegrove Skyview Tower,Tour de la prairie d'Urban,다글리 설원 조망대,ツツキキ雪原 鳥望台,Вышка Ятлова поля,Uitkijktoren (Pikida-steengroeve),Torre del pian nevoso del Piocchi,Turm im Zuzukiki-Schneefeld,茨茨齐齐雪原 鸟望台,茨茨齊齊雪原 鳥望台,Tour de la prairie d'Urban,Atalaya de la estepa de Arkpin,Pikida Stonegrove Skyview Tower
Tower04,Torre de mapeo - valle de Eldin,Eldin Canyon Skyview Tower,Tour du ravin d'Ordinn,올딘 협곡 조망대,オルディン峡谷 鳥望台,Вышка Элдинского ущелья,Uitkijktoren (Eldin-kloof),Torre della valle di Oldin,Turm in der Schlucht von Eldin,奥尔汀峡谷 鸟望台,奧爾汀峽谷 鳥望台,Tour du ravin d'Ordinn,Atalaya del valle de Eldin,Eldin Canyon Skyview Tower
Tower05,Torre de mapeo - monte Ulri,Ulri Mountain Skyview Tower,Tour du mont Ramol,울리산 조망대,ウルリ山 鳥望台,Вышка горы Ульри,Uitkijktoren (Ulri-berg),Torre del colle Ulri,Turm auf dem Ulri-Berg,乌尔利山 鸟望台,烏爾利山 鳥望台,Tour du mont Ramol,Atalaya del monte Ulri,Ulri Mountain Skyview Tower
Tower06,Torre de mapeo - colina de Sahasra,Sahasra Slope Skyview Tower,Tour de la plaine de Sahasla,사하스라 평원 조망대,サハスーラ平原 鳥望台,Вышка уклона Сахасры,Uitkijktoren (Sahasra-weide),Torre della china Sahasrah,Turm auf dem Sahasra-Hügel,撒哈斯拉平原 鸟望台,撒哈斯拉平原 鳥望台,Tour de la plaine de Sahasla,Atalaya de la colina de Sahasra,Sahasra Slope Skyview Tower
Tower07,Torre de mapeo - meseta de Zorana,Upland Zorana Skyview Tower,Tour du plateau Zoran,조라 대지 조망대,ゾラ台地 鳥望台,Вышка плато Зора,Uitkijktoren (Zorana-hoogvlakte),Torre dell'altopiano Zorana,Turm im Zorana-Hochland,卓拉台地 鸟望台,卓拉台地 鳥望台,Tour du plateau Zoran,Atalaya de la meseta de Zorana,Upland Zorana Skyview Tower
Tower08,Torre de mapeo - llanura de Hyrule,Hyrule Field Skyview Tower,Tour de la plaine d'Hyrule,하이랄 평원 조망대,ハイラル平原 鳥望台,Вышка «Хайрульская»,Uitkijktoren (Hyrule-vlakte),Torre della piana di Hyrule,Turm in der Ebene von Hyrule,海拉鲁平原 鸟望台,海拉魯平原 鳥望台,Tour de la plaine d'Hyrule,Atalaya de la llanura de Hyrule,Hyrule Field Skyview Tower
Tower09,Torre de mapeo - cañón de Gerudo,Gerudo Canyon Skyview Tower,Tour du canyon Gerudo,겔드 캐니언 조망대,ゲルドキャニオン鳥望台,Вышка ущелья Герудо,Uitkijktoren (Gerudo-kloof),Torre del canyon Gerudo,Turm im Gerudo-Tal,格鲁德峡谷 鸟望台,格魯德峽谷 鳥望台,Tour du canyon Gerudo,Atalaya del cañón de Gerudo,Gerudo Canyon Skyview Tower
Tower10,Torre de mapeo - cordillera de Gerudo,Gerudo Highlands Skyview Tower,Tour des hauteurs Gerudos,겔드 고지 조망대,ゲルド高地 鳥望台,Вышка нагорья Герудо,Uitkijktoren (Gerudo-gebergte),Torre del grande altopiano Gerudo,Turm in der Gerudo-Hochebene,格鲁德高地 鸟望台,格魯德高地 鳥望台,Tour des hauteurs Gerudos,Atalaya de la cordillera de Gerudo,Gerudo Highlands Skyview Tower
Tower11,Torre de mapeo - pantano de Fandell,Rabella Wetlands Skyview Tower,Tour de Rabelle,라베라 습지대 조망대,ラベラ湿地帯 鳥望台,Вышка Рабельских топей,Uitkijktoren (Rabella-moerasland),Torre della palude Labella,Turm in den Labella-Sümpfen,拉贝拉湿地带 鸟望台,拉貝拉濕地帶 鳥望台,Tour de Rabelle,Atalaya del pantano de Fandell,Rabella Wetlands Skyview Tower
Tower12,Torre de mapeo - ruinas de Oumbra,Thyphlo Ruins Skyview Tower,Tour des ruines des Obscurcies,드인블라 유적 조망대,ドイブラン遺跡 鳥望台,Вышка Слепых руин,Uitkijktoren (Thyphlo-ruïne),Torre delle rovine di Orbo,Turm in den Deubran-Ruinen,德依布朗遗迹 鸟望台,德依布朗遺跡 鳥望台,Tour des ruines des Obscurcies,Atalaya de las ruinas de Oumbra,Thyphlo Ruins Skyview Tower
Tower13,Torre de mapeo - meseta de Popla,Popla Foothills Skyview Tower,Tour des Peuliers,포플러 고지 조망대,ポプラー高地 鳥望台,Вышка «Ополиная»,Uitkijktoren (Popla-hoogvlakte),Torre dell'altopiano Pioppo,Turm im Pappel-Hochland,泡泡拉高地 鸟望台,泡泡拉高地 鳥望台,Tour des Peuliers,Atalaya de la meseta de Popla,Popla Foothills Skyview Tower
