type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,Reisebogen,"Ein kleiner Bogen, wie ihn Reisende zur Selbstverteidigung mit sich führen. Solange man Pfeile hat, kann man hiermit Feinde aus sicherer Entfernung bekämpfen."
bows,Bows and Arrows,Weapon_Bow_002,Soldatenbogen,"Ein mächtiger Bogen, der im Krieg eingesetzt wird. Er ist aus Holz, also pass in der Nähe von Feuer auf, dass er dir nicht verbrennt."
bows,Bows and Arrows,Weapon_Bow_003,Stachel-Bokbogen,"Ein mit Tierknochen verstärkter Bokbogen. Nicht weniger primitiv, aber genauer und durchschlagskräftiger als sein kleiner Bruder."
bows,Bows and Arrows,Weapon_Bow_004,Bokbogen,"Primitiver Bogen eines Bokblin, der einen alten Faden an den erstbesten krummen Ast geknotet hat. Wer da eine große Schusskraft erwartet, wird enttäuscht werden."
bows,Bows and Arrows,Weapon_Bow_006,Echsalbogen,"Der Bogen eines Echsalfos, gefertigt aus Holz und den Knochen eines großen Fisches. Stärker als ein gewöhnlicher Holzbogen."
bows,Bows and Arrows,Weapon_Bow_009,Leunenbogen,Der Bogen der Leunen ist aus grobem Metall gefertigt und kann mehrere Pfeile gleichzeitig abschießen. Sehr effektiv im Kampf gegen schnelle Feinde.
bows,Bows and Arrows,Weapon_Bow_011,Starker Echsalbogen,Mit Metall verstärkter Echsalbogen. Sein Holz stammt von sehr biegsamen Sumpfbäumen und verleiht von ihm abgeschossenen Pfeilen eine beträchtliche Durchschlagskraft.
bows,Bows and Arrows,Weapon_Bow_013,Waldbogen,"Diesen Bogen aus Holz und einer Grasfaser-Sehne sollen die Krogs für Hylianer angefertigt haben. Sieht primitiv aus, aber kann mehrere Pfeile gleichzeitig verschießen."
bows,Bows and Arrows,Weapon_Bow_014,Zora-Bogen,"Mit diesem Bogen jagen die Zoras Fische. Keine besonders hohe Spannkraft, doch das besondere Metall, aus dem er besteht, macht ihn sehr beständig gegen Verschleiß."
bows,Bows and Arrows,Weapon_Bow_015,Gerudo-Bogen,Diesen elegant verzierten Bogen verwenden die Gerudo im Kampf und bei der Jagd in der Wüste. Er besitzt eine hohe Reichweite.
bows,Bows and Arrows,Weapon_Bow_016,Schwalbenbogen,"Ein verbreiteter Bogen beim Volk der Orni. Um ihn für den Luftkampf zu optimieren wurde die Sehne so gestaltet, dass sie besonders schnell gespannt werden kann."
