type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,Traveler's Bow,"A small bow used by travelers for protection. It doesn't do a lot of damage, but it can be used to attack foes from a distance."
bows,Bows and Arrows,Weapon_Bow_002,Soldier’s Bow,"A bow designed for armed conflict. Inflicts more damage than a civilian bow, but it will still burn if it touches fire."
bows,Bows and Arrows,Weapon_Bow_003,Spiked Boko Bow,"An upgraded Boko bow bound with animal bone to boost its durability and firepower. Its craftsmanship is sloppy, but it's light and easy to use."
bows,Bows and Arrows,Weapon_Bow_004,Boko Bow,"A basic Bokoblin bow made of wood. It's made by taking any tree branch and just tying a string to either end, so don't expect much in the way of combat effectiveness."
bows,Bows and Arrows,Weapon_Bow_006,Lizal Bow,A wooden bow created by Lizalfos. It's reinforced by the bones of a large fish— a marked improvement over any standard wooden bow.
bows,Bows and Arrows,Weapon_Bow_009,Lynel Bow,"A Lynel-made bow crafted from rough metal. True to the vicious nature of Lynel weaponry, it fires a spread of multiple arrows at once. Ideal for taking down quick-moving targets."
bows,Bows and Arrows,Weapon_Bow_011,Strengthened Lizal Bow,"A Lizal bow with a grip reinforced by metal. The body is made from the branches of a flexible tree that grows near water, which offers some serious destructive power."
bows,Bows and Arrows,Weapon_Bow_013,Forest Dweller's Bow,"The Koroks made this bow for Hylians. It's crafted from flexible wood and uses sturdy vines for the bowstring. Its construction may be simple, but it fires multiple arrows at once."
bows,Bows and Arrows,Weapon_Bow_014,Zora Bow,"A bow favored by the Zora for fishing. It doesn't boast the highest firepower, but the special metal it's crafted from prioritizes durability."
bows,Bows and Arrows,Weapon_Bow_015,Gerudo Bow,"This Gerudo-made bow is popular for the fine ornamentations along its limbs. Designed for hunting and warfare alike, this bow was engineered to strike distant targets."
bows,Bows and Arrows,Weapon_Bow_016,Swallow Bow,"This bow is a favorite among Rito warriors. The bowstring has been specially engineered for aerial combat, which allows it to be drawn faster than a normal bow."
bows,Bows and Arrows,Weapon_Bow_017,Falcon Bow,"A highly refined Rito-made bow created by a master Rito craftsman. Rito warriors favor it for its superior rate of fire, which helps them excel even further at aerial combat."
bows,Bows and Arrows,Weapon_Bow_026,Mighty Lynel Bow,"This massive Lynel bow sports a bowstring made from a metal so tough, mere Hylians have trouble drawing it back."
bows,Bows and Arrows,Weapon_Bow_027,Dragonbone Boko Bow,"A Boko bow reinforced by fossils. Bokoblins handpicked the materials it's made from, so it boasts a respectable firepower."
bows,Bows and Arrows,Weapon_Bow_028,Great Eagle Bow,"A bow without equal wielded by the Rito Champion, Revali. It's said Revali could loose arrows with the speed of a gale, making him supreme in aerial combat."
bows,Bows and Arrows,Weapon_Bow_029,Phrenic Bow,A bow passed down through the Sheikah tribe. Concentrating before drawing the string will allow you to target distant enemies as easily as those nearby.
bows,Bows and Arrows,Weapon_Bow_030,Steel Lizal Bow,This bow is wielded by Lizalfos who are expert marksmen. The metal that reinforces much of the weapon adds some additional weight but offers heightened durability.
bows,Bows and Arrows,Weapon_Bow_032,Savage Lynel Bow,This Lynel bow is made from a special steel found at the peak of Death Mountain. It has tremendous stopping power and can pierce thick armor as easily as thin paper.
bows,Bows and Arrows,Weapon_Bow_033,Royal Guard's Bow,"This prototype Sheikah-made bow was designed to fight the Great Calamity. Made with ancient technology, it boasts a high rate of fire and firepower but has low durability."
bows,Bows and Arrows,Weapon_Bow_035,Knight's Bow,"The sturdy metal construction of this bow offers superior durability, while its lack of firing quirks makes it quite reliable. Once favored by the knights at Hyrule Castle."
bows,Bows and Arrows,Weapon_Bow_036,Royal Bow,"In the past, the king of Hyrule presented this bow to only the most talented archers in the land. Its combat capabilities are as impressive as its extravagant design."
bows,Bows and Arrows,Weapon_Bow_038,Wooden Bow,"This wooden bow may not be the most reliable for battling monsters, but it is excellent for hunting small animals."
bows,Bows and Arrows,Weapon_Bow_040,Duplex Bow,A bow favored by the skilled archers of the Yiga Clan. It's been engineered to fire two arrows at once to ensure your target comes to a swift and none-too-pleasant halt.
bows,Bows and Arrows,Weapon_Bow_072,Dusk Bow,A bow that's been in the royal family for ages. Said to have been used by a princess who fought beasts of twilight. It forcefully fires long-range arrows.
bows,Bows and Arrows,Weapon_Bow_101,Zonaite Bow,"A Zonai bow that draws power from your Energy Cell. Power drains, and arrows can fly much farther according to how long a shot is charged."
bows,Bows and Arrows,Weapon_Bow_104,Construct Bow,"A bow used by a Captain Construct. Though simply built, it is made of fireproof materials and won't catch fire as wooden bows do."
bows,Bows and Arrows,Weapon_Bow_105,Strong Construct Bow,"A sturdy bow for a Captain Construct. Besides being fireproof, it's been strengthened to allow for more powerful shots."
bows,Bows and Arrows,Weapon_Bow_106,Mighty Construct Bow,"A powerful bow for a Captain Construct. Though still fireproof, it's more complex than earlier models. The bowstring is extremely tense and requires great strength to draw."
bows,Bows and Arrows,Weapon_Bow_107,Old Wooden Bow,"A wooden bow from the olden days. It's built for hunting, but it's not very powerful."
bows,Bows and Arrows,Weapon_Bow_166,Demon King's Bow,"A magical bow prized by the Demon King. Its performance reflects the power of its wielder. The higher your maximum number of hearts, the more its attack power increases."
weapons,Weapons,Weapon_Lsword_001,Traveler's Claymore,A basic two-handed sword once wielded by aspiring adventurers. Its immense weight can knock enemies' shields right out of their hands.
weapons,Weapons,Weapon_Lsword_002,Soldier's Claymore,"An improved claymore, made lightweight for easier handling. It consumes less stamina for charged attacks."
weapons,Weapons,Weapon_Lsword_003,Knight's Claymore,Only the strongest of Hyrule Castle's knights carried this two-handed sword. It can yield powerful attacks when you're down to your last heart.
weapons,Weapons,Weapon_Lsword_019,Moblin Arm,A Moblin bone that continues to move even after being detached from its body. The bone is thick enough to be used as a weapon but is extremely brittle and easily broken.
weapons,Weapons,Weapon_Lsword_020,Rusty Claymore,"A two-handed sword not properly cared for. Although it can be used as a weapon, its durability is very low. Don't expect it to last for more than a few strikes."
weapons,Weapons,Weapon_Lsword_024,Royal Claymore,A two-handed sword issued to the Hyrulean royal family's immediate guard detail. Yields a powerful strike and increases the power of flurry rush during perfect dodge.
weapons,Weapons,Weapon_Lsword_027,Zora Longsword,A longsword made by the Zora using a special metal. It's rarely used because the Zora prefer to use spears. It yields high attack power when it gets wet.
weapons,Weapons,Weapon_Lsword_029,Gerudo Claymore,Only the most talented Gerudo sword fighters carry this two-handed sword. Attaching a material greatly enhances the material's power but doesn't add as much durability.
weapons,Weapons,Weapon_Lsword_036,Cobble Crusher,"A Goron-made two-handed weapon. It's made from thick, hard metal and has no cutting edge, but its weight and hard surface make it a great tool for breaking rocks."
weapons,Weapons,Weapon_Lsword_038,Boat Oar,"Made for paddling boats, but it was made sturdy enough to fight strong currents. Maybe it's useful for self-defense in a pinch."
weapons,Weapons,Weapon_Lsword_041,Eightfold Longblade,"A single-edged sword seldom seen in Hyrule. This weapon is passed down through the Sheikah tribe. When wielded by a proficient fighter, it cleaves wind and creates vacuum."
weapons,Weapons,Weapon_Lsword_045,Farming Hoe,"A farming tool primarily used for tilling fields. Its fine craftsmanship is sturdy enough to withstand backbreaking fieldwork, but its battle applications are untested."
weapons,Weapons,Weapon_Lsword_047,Royal Guard's Claymore,"The Sheikah used the very essence of ancient technology to forge this greatsword. It's low in durability, but its magic yields massive destructive power just before it breaks."
