type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,Arco de viajero,Un arco pequeño que los viajeros usan para defenderse. Usa las flechas para alcanzar a los enemigos que estén lejos.
bows,Bows and Arrows,Weapon_Bow_002,Arco de soldado,"Un arco mejorado expresamente para el combate. Inflige más daño, pero arderá si entra en contacto con el fuego."
bows,Bows and Arrows,Weapon_Bow_003,Arco boko punzante,"Versión mejorada del arco boko que incluye huesos de animales para aumentar la potencia de disparo y la resistencia. Aunque parece endeble, es ligero y fácil de usar."
bows,Bows and Arrows,Weapon_Bow_004,Arco boko,"Arco sencillo que emplean los bokoblin. Está elaborado con la primera rama y cuerda que tienen a la mano, por lo que no cabe esperar de él gran potencia de disparo."
bows,Bows and Arrows,Weapon_Bow_006,Arco lizal,Arco de madera fabricado por lizalfos con las espinas de un pez muy grande. Su potencia de ataque es superior a la de un arco de madera sencillo.
bows,Bows and Arrows,Weapon_Bow_009,Arco de centaleón,"Arco elaborado a partir de metal sin refinar. Capaz de disparar varias flechas en abanico, su gran rango de alcance es útil frente a enemigos veloces."
bows,Bows and Arrows,Weapon_Bow_011,Arco lizal reforzado,Arco lizal con un mango reforzado por metal. La madera flexible de árboles ribereños con la que está elaborada su estructura le aporta una potencia de disparo nada despreciable.
bows,Bows and Arrows,Weapon_Bow_013,Arco del bosque,"Arco kolog diseñado para hylianos, capaz de disparar varias flechas a la vez. La cuerda fue elaborada con hierba, mientras que la estructura es de madera flexible."
bows,Bows and Arrows,Weapon_Bow_014,Arco zora,"Arco empleado por los zora para pescar, entre otras tareas. No posee una gran potencia de disparo, pero el metal con el que está fabricado lo hace muy resistente."
bows,Bows and Arrows,Weapon_Bow_015,Arco gerudo,Arco de la tribu gerudo que destaca por sus elaborados adornos. Su gran alcance lo convierte en el aliado perfecto tanto para el combate como para la caza en el desierto.
bows,Bows and Arrows,Weapon_Bow_016,Arco de golondrina,"Arco muy común entre los orni. Su cuerda se diseñó especialmente para combates aéreos, por lo que resulta más fácil tirar de ella que con un arco normal."
bows,Bows and Arrows,Weapon_Bow_017,Arco de halcón,"Exquisito arco elaborado por el maestro arquero orni. Dispara más rápido que un arco normal, por lo que suelen usarlo los guerreros más diestros en combate aéreo."
bows,Bows and Arrows,Weapon_Bow_026,Arco bestial,"Arco de centaleón con estructura reforzada. La cuerda también es metálica, por lo que a los hylianos les resulta difícil emplearlo."
bows,Bows and Arrows,Weapon_Bow_027,Arco boko de dragón,"Arco boko reforzado por medio de huesos de fósil. Elaborado con materiales elegidos cuidadosamente por los bokoblin, que le confieren gran potencia de disparo."
bows,Bows and Arrows,Weapon_Bow_028,Arco de águila,"Arco único que utilizaba Revali, el campeón orni. Se dice que disparaba a velocidad fulminante, y que no tenía rival en los combates aéreos."
bows,Bows and Arrows,Weapon_Bow_029,Arco del vigilante,Arco que ha pasado de generación en generación entre los sheikah. Se dice que concentrarse antes de tensarlo sirve para alcanzar a enemigos lejanos con precisión.
bows,Bows and Arrows,Weapon_Bow_030,Arco lizal de acero,"Arco usado únicamente por los más diestros arqueros lizalfos. Su estructura reforzada con acero le confiere más peso, aunque al mismo tiempo le aporta resistencia."
bows,Bows and Arrows,Weapon_Bow_032,Arco colosal,Arco de centaleón elaborado con un metal extraído de la Montaña de la Muerte. Su potencia de disparo es brutal: puede atravesar una armadura como si fuera papel.
bows,Bows and Arrows,Weapon_Bow_033,Arco de la guardia,"Arco elaborado por los sheikah para acabar con el cataclismo. Destaca por su elevada potencia y cadencia de disparo, aunque en detrimento de la resistencia."
bows,Bows and Arrows,Weapon_Bow_035,Arco de caballero,"Arco que utilizaban los caballeros del castillo de Hyrule. Su diseño metálico lo hace más resistente, y también más preciso al disparar."
bows,Bows and Arrows,Weapon_Bow_036,Arco real,Arco que el rey de Hyrule entregaba a los caballeros más diestros con dicha arma. Destaca por su original diseño y por su excelente capacidad de disparo.
bows,Bows and Arrows,Weapon_Bow_038,Arco de madera,Sencillo arco de madera fabricado para cazar animales pequeños. No se recomienda utilizarlo para enfrentarse a los monstruos.
bows,Bows and Arrows,Weapon_Bow_040,Arco doble,"Arco empleado por los arqueros más diestros del clan Yiga. Está diseñado para disparar dos flechas a la vez, lo que suele acabar con todo lo que se le pone por delante."
bows,Bows and Arrows,Weapon_Bow_072,Arco crepuscular,Ha pertenecido a la familia real durante largo tiempo. Se dice que lo usó la princesa que combatió a los monstruos del Crepúsculo. Dispara flechas certeras de gran alcance.
bows,Bows and Arrows,Weapon_Bow_101,Arco de zonnanio,"Arco de los zonnan que usa energía zonnan para disparar. Según el tiempo que se tense su cuerda, la cantidad de energía consumida y la distancia que recorre la flecha aumentan."
bows,Bows and Arrows,Weapon_Bow_104,Arco de gólem,"Arco de un gólem de rango superior. Aunque su artesanía es algo tosca, está hecho de un material ignífugo, por lo que no arde, como los arcos de madera."
bows,Bows and Arrows,Weapon_Bow_105,Arco de gólem reforzado,"Resistente arco de un gólem de rango superior. Además de ser ignífugo, se ha reforzado para disparar flechas más potentes."
bows,Bows and Arrows,Weapon_Bow_106,Gran arco de gólem,"Potente arco de un gólem de rango superior. Posee propiedades ignífugas, como arcos similares, pero su forma es más compleja. La cuerda es durísima y cuesta tensarla."
