type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,Arco de viajero,Arco pequeño que los viajeros usan para defenderse. Las flechas ayudan a acertar a enemigos que se encuentren lejos.
bows,Bows and Arrows,Weapon_Bow_002,Arco de soldado,"Arco mejorado expresamente para el combate. Inflige más daño, pero arde si entra en contacto con el fuego."
bows,Bows and Arrows,Weapon_Bow_003,Arco boko punzante,"Parece endeble, pero esta versión mejorada del arco boko incluye huesos de animales que aumentan la potencia de disparo y la resistencia. Es ligero y fácil de usar."
bows,Bows and Arrows,Weapon_Bow_004,Arco boko,"Arco sencillo que emplean los bokoblin. Está elaborado con la primera rama y cuerda que tienen a mano, por lo que no cabe esperar de él una gran potencia de disparo."
bows,Bows and Arrows,Weapon_Bow_006,Arco lizal,Arco de madera fabricado por lizalfos y reforzado con espinas de un gran pez. Su potencia de ataque es superior a la de un arco de madera sencillo.
bows,Bows and Arrows,Weapon_Bow_009,Arco de centaleón,"Arco elaborado a partir de metal sin refinar. Capaz de disparar varias flechas en abanico, su gran rango de alcance es útil frente a enemigos veloces."
bows,Bows and Arrows,Weapon_Bow_011,Arco lizal reforzado,Arco lizal reforzado con metal. La madera flexible de árboles ribereños con la que está elaborada su estructura le aporta una potencia de disparo nada desdeñable.
bows,Bows and Arrows,Weapon_Bow_013,Arco del bosque,"Arco kolog diseñado para hylianos, capaz de disparar varias flechas a la vez. La cuerda se ha elaborado con hierba, mientras que la estructura es de madera flexible."
bows,Bows and Arrows,Weapon_Bow_014,Arco zora,"Arco empleado por los zora para pescar, entre otros menesteres. No posee una gran potencia de disparo, pero el metal con el que está fabricado lo hace muy resistente."
bows,Bows and Arrows,Weapon_Bow_015,Arco gerudo,Arco de la tribu gerudo que destaca por sus elaborados adornos. Su gran alcance lo convierte en el aliado perfecto tanto para el combate como para la caza en el desierto.
bows,Bows and Arrows,Weapon_Bow_016,Arco de golondrina,"Arco muy común entre los orni. Su cuerda se ha diseñado especialmente para combates aéreos, por lo que se puede tirar de ella más rápido que al usar un arco estándar."
bows,Bows and Arrows,Weapon_Bow_017,Arco de halcón,"Exquisito arco elaborado por un maestro arquero orni. Dispara más rápido que un arco normal, por lo que suelen usarlo los guerreros más diestros en combate aéreo."
bows,Bows and Arrows,Weapon_Bow_026,Arco bestial,"Arco de centaleón con estructura reforzada. La cuerda también es metálica, por lo que a los hylianos de a pie les cuesta utilizarlo."
bows,Bows and Arrows,Weapon_Bow_027,Arco boko de dragón,"Arco boko reforzado por medio de huesos de fósil. Elaborado con materiales elegidos cuidadosamente por los bokoblin, que le confieren gran potencia de disparo."
bows,Bows and Arrows,Weapon_Bow_028,Arco de águila,"Arco único que utilizaba Revali, el elegido orni. Se dice que disparaba a velocidad de vértigo y que no tenía rival en combates aéreos."
bows,Bows and Arrows,Weapon_Bow_029,Arco del vigilante,Arco que ha pasado de generación en generación entre los sheikah. Se dice que concentrarse antes de tensarlo sirve para alcanzar a enemigos lejanos con precisión.
bows,Bows and Arrows,Weapon_Bow_030,Arco lizal de acero,"Arco usado únicamente por los más diestros arqueros lizalfos. Su estructura reforzada con acero le confiere más peso, aunque al mismo tiempo lo hace más duradero."
bows,Bows and Arrows,Weapon_Bow_032,Arco colosal,Arco de centaleón elaborado con un metal extraído de la Montaña de la Muerte. Su potencia de disparo es brutal: puede atravesar una armadura como si fuera papel.
bows,Bows and Arrows,Weapon_Bow_033,Arco de la guardia,"Arco elaborado por los sheikah para acabar con el cataclismo. Destaca por su elevada potencia y cadencia de disparo, aunque en detrimento de la resistencia."
bows,Bows and Arrows,Weapon_Bow_035,Arco de caballero,Arco que utilizaban los caballeros del castillo de Hyrule. Su acabado metálico le otorga resistencia y precisión.
bows,Bows and Arrows,Weapon_Bow_036,Arco real,Arco que el rey de Hyrule entregaba a los caballeros más diestros con dicha arma. Destaca por su original diseño y por su excelente capacidad de disparo.
bows,Bows and Arrows,Weapon_Bow_038,Arco de madera,Sencillo arco de madera fabricado para cazar animales pequeños. No se considera apto para luchar contra monstruos.
bows,Bows and Arrows,Weapon_Bow_040,Arco doble,"Arco empleado por los arqueros más diestros del clan Yiga. Está diseñado para disparar dos flechas a la vez, lo que suele acabar con todo lo que se le pone por delante."
bows,Bows and Arrows,Weapon_Bow_072,Arco crepuscular,Ha pertenecido a la familia real durante largo tiempo. Se dice que lo usó la princesa que combatió a los monstruos del Crepúsculo. Dispara flechas certeras de gran alcance.
bows,Bows and Arrows,Weapon_Bow_101,Arco de zonnanio,"Arco de los zonnan que usa energía zonnan para disparar. Según el tiempo que se tense su cuerda, la cantidad de energía consumida y la distancia que recorre la flecha aumentan."
bows,Bows and Arrows,Weapon_Bow_104,Arco de gólem,"Arco de un gólem de rango superior. Aunque su artesanía es algo tosca, está hecho de un material ignífugo, por lo que no arde, como los arcos de madera."
bows,Bows and Arrows,Weapon_Bow_105,Arco de gólem reforzado,"Resistente arco de un gólem de rango superior. Además de ser ignífugo, se ha reforzado para disparar flechas más potentes."
bows,Bows and Arrows,Weapon_Bow_106,Gran arco de gólem,"Potente arco de un gólem de rango superior. Posee propiedades ignífugas, como arcos similares, pero su forma es más compleja. La cuerda es durísima y cuesta tensarla."
bows,Bows and Arrows,Weapon_Bow_107,Arco de madera viejo,"Sencillo arco de madera de tiempos pretéritos. No es demasiado potente, ya que se diseñó para cazadores."
bows,Bows and Arrows,Weapon_Bow_166,Arco del rey demonio,"Arco mágico que el rey demonio tiene en muy alta estima. Su potencia refleja el poder de quien lo blande: cuanto mayor sea su máximo de corazones, mayor potencia tendrá."
weapons,Weapons,Weapon_Lsword_001,Mandoble de viajero,Espada a dos manos que antaño resultaba útil para cualquier aventurero. Puede aprovecharse su gran peso para despojar a los enemigos de su escudo.
weapons,Weapons,Weapon_Lsword_002,Mandoble de soldado,"Espada a dos manos mejorada para el combate. Es muy ligera, por lo que resulta fácil de manejar. Requiere poca resistencia para ejecutar ataques cargados."
weapons,Weapons,Weapon_Lsword_003,Mandoble de caballero,Espada a dos manos que portaban los caballeros más fuertes del castillo de Hyrule. Permite ejecutar poderosos ataques cuando te queda un corazón o menos.
