type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,Arc de voyageur,"Utilisé en combinaison avec des flèches, ce petit arc léger, bien pratique en voyage, permet d'atteindre les ennemis à distance."
bows,Bows and Arrows,Weapon_Bow_002,Arc de soldat,"Cet arc en bois, dont la puissance d'attaque a été augmentée pour servir au combat, peut infliger de gros dégâts, mais attention à ne pas l'approcher du feu!"
bows,Bows and Arrows,Weapon_Bow_003,Arc à pointes boko,"Des os d'animaux ont été fixés au bois de cette version renforcée d'un arc boko, le rendant plus solide et plus puissant, tout en conservant sa légèreté."
bows,Bows and Arrows,Weapon_Bow_004,Arc boko,"Cet arc dont se servent les Bokoblins est des plus sommaires : une simple corde attachée à une branche d'arbre, ce qui ne le rend pas particulièrement puissant."
bows,Bows and Arrows,Weapon_Bow_006,Arc lézal,"Cet arc en bois, fabriqué par un Lézalfos à partir d'arêtes de grands poissons, est plus puissant qu'un arc en bois standard."
bows,Bows and Arrows,Weapon_Bow_009,Arc de Centaléo,"Cet arc en métal dont se servent les Centaléos est rudimentaire, mais il permet de décocher plusieurs flèches à la fois, facilitant les combats avec les cibles les plus véloces."
bows,Bows and Arrows,Weapon_Bow_011,Arc lézal robuste,"Constitué d'une poignée en métal et d'une structure en bois d'arbres poussant près des zones d'eau, cet arc lézal renforcé est assez puissant pour ne pas être sous-estimé."
bows,Bows and Arrows,Weapon_Bow_013,Arc des sylvains,"Fabriqué par les Korogus pour les humains à partir de bois flexible et de corde solide, cet arc d'apparence modeste peut tirer plusieurs flèches à la fois."
bows,Bows and Arrows,Weapon_Bow_014,Arc Zora,Cet arc peu puissant dont les Zoras se servent principalement pour pêcher a été conçu en métal et est plus robuste qu'il n'y paraît.
bows,Bows and Arrows,Weapon_Bow_015,Arc Gerudo,Les Gerudos se servent de cet arc habilement décoré pour atteindre leurs cibles de loin quand elles chassent ou combattent dans le vaste désert.
bows,Bows and Arrows,Weapon_Bow_016,Arc de l'hirondelle,"Cet arc couramment utilisé chez les Piafs est idéal pour tirer dans les airs, sa conception particulière le rendant plus rapide à bander qu'un arc ordinaire."
bows,Bows and Arrows,Weapon_Bow_017,Arc du faucon,"Cet arc, fabriqué par un artisan Piaf réputé, est très apprécié des guerriers Piafs excellant dans les combats aériens et est plus rapide à bander qu'un arc ordinaire."
bows,Bows and Arrows,Weapon_Bow_026,Arc du roi bestial,Un humain ordinaire éprouverait de grandes difficultés à bander cet arc de Centaléo entièrement constitué de métal robuste.
bows,Bows and Arrows,Weapon_Bow_027,Draco-arc boko,"Des os fossilisés, choisis par un Bokoblin avec la rigueur propre à son espèce, ont été fixés au bois de cet arc boko, augmentant ainsi sensiblement sa puissance."
bows,Bows and Arrows,Weapon_Bow_028,Arc de l'aigle,"On dit que quand le Prodige Revali se battait dans les airs avec cet arc d'une grande rareté, il était si rapide que personne ne pouvait rivaliser avec lui."
bows,Bows and Arrows,Weapon_Bow_029,Arc de la dévotion,"On dit que cet arc Sheikah focalise la concentration, permettant ainsi de tirer sur une cible éloignée comme si elle se trouvait à proximité."
bows,Bows and Arrows,Weapon_Bow_030,Arc lézal en acier,"Seuls les meilleurs archers Lézalfos peuvent manier cet arc qui a été renforcé avec une grande quantité de métal, le rendant plus solide, mais aussi plus lourd."
bows,Bows and Arrows,Weapon_Bow_032,Arc du dieu bestial,"Forgé dans un métal extrait de la cime du mont de la Mort, cet arc de Centaléo tire plusieurs flèches avec tant de force qu'elles traversent les armures les plus épaisses."
bows,Bows and Arrows,Weapon_Bow_033,Arc de garde royal,"Les Sheikahs ont conçu cet arc expérimental selon d'anciennes technologies pour contrer le Grand Fléau. Sa puissance et sa vitesse de tir sont élevées, sa résistance réduite."
bows,Bows and Arrows,Weapon_Bow_035,Arc de chevalier,Cet arc de facture classique qu'utilisaient les chevaliers d'Hyrule donne à son archer une grande stabilité et le métal dans lequel il a été forgé le rend particulièrement solide.
bows,Bows and Arrows,Weapon_Bow_036,Arc royal,Le roi n'offrait cette arme qu'aux chevaliers d'Hyrule ayant prouvé leur valeur au tir à l'arc. Sa somptueuse extravagance n'a d'égale que sa puissance d'attaque.
bows,Bows and Arrows,Weapon_Bow_038,Arc en bois,"Cet arc en bois, idéal pour chasser du petit gibier, est peu efficace contre les monstres."
bows,Bows and Arrows,Weapon_Bow_040,Arc à double encoche,Seuls les membres du clan des Yigas s'étant distingués à l'archerie peuvent se servir de cet arc qui permet de décocher deux flèches à la fois afin d'abattre à coup sûr sa cible.
bows,Bows and Arrows,Weapon_Bow_072,Arc crépusculaire,"Armée de cet arc qui appartint longtemps à la famille royale, une princesse affronta un jour une bête du Crépuscule avec le Héros. Ses traits filent droit et loin."
bows,Bows and Arrows,Weapon_Bow_101,Arc de sonium,"Cet arc fonctionne à l'énergie Soneau. Plus vous le maintenez bandé avant de tirer votre flèche, plus la portée et la dépense en énergie Soneau augmenteront."
bows,Bows and Arrows,Weapon_Bow_104,Arc de Golem,"Cet arc utilisé par les Golems lieutenants est d'une conception simple, mais contrairement aux arcs en bois, il est fait d'un matériau ininflammable."
bows,Bows and Arrows,Weapon_Bow_105,Arc de Golem renforcé,Cet arc renforcé utilisé par les Golems capitaines ne s'enflamme pas lorsqu'il est soumis à de hautes températures et permet d'effectuer des tirs plus puissants.
bows,Bows and Arrows,Weapon_Bow_106,Arc de Golem surpuissant,Cet arc puissant dont se servent les Golems commandants est ininflammable et jouit d'une conception élaborée. La corde est si tendue que son utilisation requiert une grande force.
bows,Bows and Arrows,Weapon_Bow_107,Vieil arc en bois,Cet arc en bois des jours anciens a été conçu pour la chasse et n'est pas très puissant.
bows,Bows and Arrows,Weapon_Bow_166,Arc du roi démon,"Cet arc maléfique était l'arc de prédilection du roi démon et reflète la puissance de son porteur. Plus il a de réceptacles de cœur, plus la puissance d'attaque est élevée."
weapons,Weapons,Weapon_Lsword_001,Espadon de voyageur,"Cette épée était très appréciée des voyageurs, qui tiraient parti de son poids important pour envoyer voler le bouclier de l'ennemi qui tenterait de se protéger."
weapons,Weapons,Weapon_Lsword_002,Espadon de soldat,Cette épée a été optimisée pour le combat et bénéficie notamment d'un poids réduit. Les attaques chargées effectuées avec cette arme consomment moins d'endurance.
weapons,Weapons,Weapon_Lsword_003,Espadon de chevalier,Seuls les chevaliers d'Hyrule les plus aguerris sont capables de manier cette longue épée. Sa puissance d'attaque augmente quand il ne vous reste qu'un seul cœur.
weapons,Weapons,Weapon_Lsword_019,Os de Moblin,"Ce vigoureux bras de Moblin, qui faisait autrefois partie d'un squelette entier, est long et épais et peut tout à fait servir d'arme."
weapons,Weapons,Weapon_Lsword_020,Espadon rouillé,"Abandonnée depuis longtemps, cette épée peut encore servir d'arme, mais a été fragilisée par la rouille et se brisera après seulement quelques coups."
weapons,Weapons,Weapon_Lsword_024,Espadon royal,"Arme de prédilection des soldats de la garde rapprochée de la famille royale, cette épée délivre de puissantes attaques et renforce la contre-attaque après une esquive optimale."
weapons,Weapons,Weapon_Lsword_027,Longue épée Zora,"Les Zoras préférant généralement la lance, cette épée a très peu servi. Forgée dans un métal spécial, elle inflige plus de dégâts quand elle est mouillée."
weapons,Weapons,Weapon_Lsword_029,Espadon Gerudo,Espadon manié par les guerrières Gerudos les plus douées. Fixez-y un matériau pour en exploiter le potentiel au maximum au prix d'un faible gain de durabilité de l'arme.
weapons,Weapons,Weapon_Lsword_036,Casse-pierre,"Cette arme Goron à deux mains, forgée dans un métal solide, ne peut pas trancher, mais son poids et sa dureté sont tels qu'elle est parfaite pour creuser les parois rocheuses."
weapons,Weapons,Weapon_Lsword_038,Rame,"Conçu dans un bois résistant, cet outil que l'on trouve dans toute bonne embarcation est aussi assez efficace comme moyen de défense."
weapons,Weapons,Weapon_Lsword_041,Sabre de la défiance,"Cette épée au tranchant incomparable, qui se transmet de génération en génération au sein du clan Sheikah, permet de créer des lames de vide à chaque coup porté."
weapons,Weapons,Weapon_Lsword_045,Pioche,"Cet outil agricole sert habituellement à travailler la terre et à labourer les champs, mais sa confection robuste en fait aussi une arme efficace."
weapons,Weapons,Weapon_Lsword_047,Espadon de garde royal,"Fleuron de la technologie Sheikah, cette épée manque de solidité, mais sa puissance d'attaque augmente lorsqu'elle est sur le point de se briser."
weapons,Weapons,Weapon_Lsword_051,Grand boomerang,"Doté d'une lame sur sa courbure intérieure, trop grand pour se manier d'une seule main, c'est une arme difficile à utiliser, modifiée pour servir au combat plutôt qu'à la chasse."
weapons,Weapons,Weapon_Lsword_054,Brise-montagne,"Si le grand Daruk maniait avec aisance cette épée forgée dans le plus dur des métaux, il n'en va pas de même pour les humains, et seuls les meilleurs bretteurs peuvent l'utiliser."
weapons,Weapons,Weapon_Lsword_057,Longue épée crépusculaire,Cette longue épée d'une grande finesse appartient au royaume d'Hyrule depuis la nuit des temps. Sa lame brille d'une mystérieuse lueur opaline.
weapons,Weapons,Weapon_Lsword_059,Épée de Biggoron,Le tranchant extraordinaire de cette épée légendaire reflète le talent exceptionnel du forgeron Goron qui l'aurait façonnée pour le Héros traversant le temps.
weapons,Weapons,Weapon_Lsword_060,Épée du mauvais génie,"Cette épée à la forme singulière, qui aurait appartenu au Héros d'un monde menacé par la lune, donne à son porteur des allures de mauvais génie."
weapons,Weapons,Weapon_Lsword_101,Espadon de sonium,Cette longue épée de sonium était utilisée par les Soneaus. Fixez-y un matériau ou un artéfact Soneau et son attaque augmentera légèrement plus qu'avec d'autres matériaux.
weapons,Weapons,Weapon_Lsword_103,Gourdin,"Taillé dans une grosse branche d'arbre, ce gourdin n'est pas très solide, mais son poids conséquent permet de faire voler le bouclier de l'ennemi."
weapons,Weapons,Weapon_Lsword_106,Espadon de voyageur,"Cette épée était très appréciée des voyageurs. Son tranchant est émoussé par la corrosion, mais elle est toujours capable d'envoyer voler le bouclier de l'ennemi."
weapons,Weapons,Weapon_Lsword_108,Gourdin solide,Ce dur gourdin taillé dans une épaisse branche est bien plus résistant qu'il n'y paraît.
weapons,Weapons,Weapon_Lsword_109,Gourdin noueux,"Taillé directement dans le tronc d'un arbre, puis séché pour en augmenter la dureté, ce gourdin inflige des dégâts si lourds qu'on a peine à croire que c'est du simple bois."
weapons,Weapons,Weapon_Lsword_112,Espadon de soldat,Les soldats peuvent manier cette épée sans se fatiguer grâce à son poids réduit. Les attaques chargées effectuées avec cette arme consomment moins d'endurance.
weapons,Weapons,Weapon_Lsword_113,Espadon de chevalier,"Pour les chevaliers d'Hyrule, cette épée symbolise leur désir de protéger ce qui est précieux et sa puissance d'attaque augmente quand il ne vous reste plus qu'un cœur."
weapons,Weapons,Weapon_Lsword_114,Sabre de la défiance,"Cette épée longue à la lame corrodée a perdu son tranchant, mais permet aux utilisateurs les plus experts de créer des lames de vide à chaque coup porté."
weapons,Weapons,Weapon_Lsword_124,Espadon royal,"Arme de prédilection des soldats de la garde rapprochée de la famille royale, cette épée permet une contre-attaque puissante après une esquive optimale."
weapons,Weapons,Weapon_Lsword_127,Longue épée Zora,Le métal dans lequel cette longue épée Zora à la lame corrodée a été forgée augmente la puissance d'attaque de l'arme quand elle est mouillée.
weapons,Weapons,Weapon_Lsword_129,Espadon Gerudo,Épée Gerudo à deux mains dont la lame est corrodée. Fixez-y un matériau pour en exploiter le potentiel au maximum au prix d'un faible gain de durabilité de l'arme.
weapons,Weapons,Weapon_Lsword_136,Casse-pierre,La force principale de cette arme aujourd'hui corrodée résidait dans son poids considérable qui assommait les ennemis. Elle brise toujours les rochers et permet de creuser les parois.
weapons,Weapons,Weapon_Lsword_147,Espadon de garde royal,Cette épée prototype destinée aux gardes royaux a été forgée dans un métal raffiné. Son attaque gagne en puissance quand elle est sur le point de se briser.
weapons,Weapons,Weapon_Lsword_161,Grande baguette magique,Une faible aura magique émane de cette baguette. Elle aurait appartenu à un mage qui s'en servait pour éveiller le pouvoir latent des gemmes.
weapons,Weapons,Weapon_Lsword_163,Espadon de sonium robuste,Cette longue épée solide était utilisée par les Soneaus. Fixez-y un matériau ou artéfact Soneau et son attaque augmentera plus qu'avec d'autres matériaux.
weapons,Weapons,Weapon_Lsword_164,Espadon de sonium surpuissant,Cette longue épée puissante était utilisée par les Soneaus. Attachez-lui un matériau ou artéfact Soneau et son attaque augmentera beaucoup plus qu'avec d'autres matériaux.
weapons,Weapons,Weapon_Lsword_166,Massue émanatique,Un tragique sentiment de folie semble émaner de cette redoutable masse de métal. Le corps de son porteur est progressivement rongé par des émanations.
weapons,Weapons,Weapon_Lsword_168,Gourdin,"Taillé dans une grosse branche d'arbre, cette arme n'est pas très solide mais son poids conséquent permet d'infliger des coups avec une certaine puissance."
weapons,Weapons,Weapon_Lsword_174,Grand boomerang,"Cet imposant boomerang à la lame corrodée a été conçu pour la chasse. Correctement lancée, l'arme revient vers son porteur, mais cette technique est difficile à maîtriser."
weapons,Weapons,Weapon_Spear_001,Lance de voyageur,"Avec son excellente tenue en main et son maniement aisé, cette lance est appréciée des voyageurs qui doivent se défendre des animaux sauvages tels que le loup."
weapons,Weapons,Weapon_Spear_002,Lance de soldat,Un entraînement rigoureux est nécessaire au bon maniement de cette longue lance réservée aux soldats du château. Elle permet des attaques chargées plus rapides.
weapons,Weapons,Weapon_Spear_003,Hallebarde de chevalier,"Équipé de cette lance surmontée d'un fer de hache et d'un crochet, votre puissance d'attaque augmente quand il ne vous reste plus qu'un seul cœur."
weapons,Weapons,Weapon_Spear_021,Hallebarde rouillée,La pluie et le vent ont depuis longtemps éprouvé la solidité du fer de cette arme qui a probablement appartenu à un chevalier des temps anciens.
weapons,Weapons,Weapon_Spear_022,Fourche,Cet outil agricole à quatre dents acérées est conçu pour ramasser le foin en un tour de main. Il est si léger que n'importe qui peut l'utiliser.
weapons,Weapons,Weapon_Spear_024,Hallebarde royale,"Cette lance était réservée aux chevaliers d'Hyrule affectés à la protection du château. Après une esquive optimale, elle permet une contre-attaque puissante."
weapons,Weapons,Weapon_Spear_025,Lance des sylvains,"Fabriquée par les Korogus pour les humains, la hampe de cette lance est légère, mais solide. Attachez-y un élément réagissant à l'impact et il pourra être utilisé à volonté."
weapons,Weapons,Weapon_Spear_027,Lance Zora,"Les Zoras se servent souvent de cette lance pour pêcher, mais aussi pour protéger leur domaine des envahisseurs. Mouillé, le métal spécial qui la compose inflige plus de dégâts."
weapons,Weapons,Weapon_Spear_029,Trident Gerudo,Ce trident est très populaire auprès des guerrières Gerudos. Fixez-y un matériau pour en exploiter le potentiel au maximum au prix d'un faible gain de durabilité de l'arme.
weapons,Weapons,Weapon_Spear_030,Javelot,"Conçue pour transpercer les cibles distantes, cette arme possède une portée surpassant celle des lances conventionnelles grâce à l'excellent équilibre entre la hampe et le fer."
weapons,Weapons,Weapon_Spear_032,Lance rémige,Les soldats Piafs prisent cette lance adaptée au combat aérien de par son faible poids. Elle produit une puissante bourrasque à chaque coup.
weapons,Weapons,Weapon_Spear_036,Moppe,Cet outil ménager bien pratique pour nettoyer le sol est l'œuvre d'un artisan. En témoigne sa solidité qui en fait même une arme de bonne facture.
weapons,Weapons,Weapon_Spear_038,Harpon de pêcheur,Ce harpon pour poissons de grande taille à la pointe bien affûtée peut aussi servir d'arme. Devenez un pêcheur accompli en harponnant un poisson qui vous fuit!
weapons,Weapons,Weapon_Spear_047,Hallebarde de garde royal,"Fleuron de la technologie Sheikah, cette hallebarde manque de solidité, mais sa puissance d'attaque augmente lorsqu'elle est sur le point de se briser."
weapons,Weapons,Weapon_Spear_050,Lance d'écailles radieuse,"Cette lance raffinée appartenait à la Prodige Mipha, qui, bien qu'elle se spécialisât dans le domaine de la guérison, aurait aussi été une lancière accomplie."
weapons,Weapons,Weapon_Spear_101,Lance de sonium,Cette lance était autrefois utilisée par les Soneaus. Attachez-lui un matériau ou artéfact Soneau et son attaque augmentera légèrement plus qu'avec d'autres matériaux.
weapons,Weapons,Weapon_Spear_103,Long bâton,La longueur de ce bâton bien droit permet de frapper un ennemi tout en gardant ses distances.
weapons,Weapons,Weapon_Spear_106,Lance de voyageur,"Bien que corrodée et émoussée, la facilité de prise en main de cette lance en fait une arme appréciée des voyageurs."
weapons,Weapons,Weapon_Spear_108,Long bâton solide,"Ce long bâton assez droit fait une arme d'estoc tout à fait correcte. Taillé dans un bois dur, il bénéficie d'une grande solidité."
weapons,Weapons,Weapon_Spear_109,Long bâton noueux,Ce bâton dont on a coupé les branches transversales présente des protubérances qui lui confèrent une puissance d'attaque supérieure.
weapons,Weapons,Weapon_Spear_112,Lance de soldat,"Grâce à sa légèreté, cette lance en métal dont se servent les soldats du château permet d'effectuer les attaques chargées plus rapidement."
weapons,Weapons,Weapon_Spear_113,Hallebarde de chevalier,Cette lance surmontée d'un fer de hache et d'un crochet est souvent utilisée par les chevaliers. Sa puissance d'attaque augmente quand il ne vous reste plus qu'un seul cœur.
weapons,Weapons,Weapon_Spear_124,Hallebarde royale,"Destinée aux chevaliers gardant les zones les plus sensibles du château, cette arme est difficile à maîtriser mais permet une puissante contre-attaque après une esquive optimale."
weapons,Weapons,Weapon_Spear_125,Lance des sylvains,"Malgré la corrosion de son fer, cette lance fabriquée par les Korogus déborde de vitalité. Attachez-y un élément réagissant à l'impact et il pourra être utilisé à volonté."
weapons,Weapons,Weapon_Spear_127,Lance Zora,"Le fer de cette lance issue du savoir-faire Zora est corrodé, mais le métal spécial qui la compose a la propriété d'infliger plus de dégâts quand il est mouillé."
weapons,Weapons,Weapon_Spear_129,Trident Gerudo,Un trident Gerudo aux pointes acérées et à la lame corrodée. Fixez-y un matériau pour en exploiter le potentiel au maximum au prix d'un faible gain de durabilité de l'arme.
weapons,Weapons,Weapon_Spear_132,Lance rémige,"Cette lance dont se servent les soldats Piafs est adaptée au combat aérien, mais son fer est corrodé. Chacun de ses coups rapides produit une puissante bourrasque."
weapons,Weapons,Weapon_Spear_147,Hallebarde de garde royal,"Ce prototype destiné aux chevaliers Hyliens est difficile à manier et manque de solidité, mais sa puissance d'attaque augmente lorsqu'il est sur le point de se briser."
