type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,Arco da viandante,Un piccolo arco usato dai viandanti per proteggersi. Con arco e frecce è possibile attaccare nemici distanti.
bows,Bows and Arrows,Weapon_Bow_002,Arco da soldato,"Un arco progettato per il campo di battaglia. Infligge danni maggiori, ma è fatto di legno e prende fuoco facilmente."
bows,Bows and Arrows,Weapon_Bow_003,Arco boblin puntuto,"Un arco boblin migliorato con delle ossa animali che lo rendono più potente. Benché di fattura grossolana, è leggero, semplice da usare, più resistente e più potente."
bows,Bows and Arrows,Weapon_Bow_004,Arco boblin,"Un arco rudimentale usato dai boblin. È realizzato tendendo una corda tra le estremità di un ramo qualsiasi, quindi non ha una gran gittata."
bows,Bows and Arrows,Weapon_Bow_006,Arco lizal,"Un arco di legno usato dai lizalfos. Il telaio è rinforzato da ossa di pesce, cosa che lo rende più potente di un arco di legno convenzionale."
bows,Bows and Arrows,Weapon_Bow_009,Arco lynel,Un arco costruito dai lynel in metallo grezzo. Con un singolo tiro scocca più frecce che si allargano a ventaglio e possono così colpire anche i nemici più veloci.
bows,Bows and Arrows,Weapon_Bow_011,Arco lizal rinforzato,"Un arco lizal dall'impugnatura rinforzata con metallo. Il telaio è in legno flessibile di alberi che vivono vicino all'acqua, il che gli garantisce un'invidiabile potenza di tiro."
bows,Bows and Arrows,Weapon_Bow_013,Arco silvano,"Si dice che sia stato creato dai Korogu per i loro amici Hylia. Con telaio in legno flessibile e corda in fibre vegetali, è un'arma semplice ma che rilascia più frecce con un unico tiro."
bows,Bows and Arrows,Weapon_Bow_014,Arco Zora,"Un arco usato dagli Zora per attività come la pesca. Dotato di gittata non eccezionale, grazie al telaio in metallo speciale è però molto resistente, benché non elegante."
bows,Bows and Arrows,Weapon_Bow_015,Arco Gerudo,"Un arco con raffinate decorazioni usato dalla stirpe Gerudo. Ideato per la guerra o per la caccia nelle vaste zone desertiche, permette di mirare e colpire oggetti molto distanti."
bows,Bows and Arrows,Weapon_Bow_016,Arco rondine,L'arco più usato dai Rito. La corda è pensata per migliorare le prestazioni nel combattimento aereo e permette di tendere quest'arco più velocemente degli altri.
bows,Bows and Arrows,Weapon_Bow_017,Arco falcone,"Un elegante arco fabbricato da un maestro artigiano Rito. Permette di scoccare frecce più rapidamente ed è usato dai guerrieri Rito, che eccellono nel combattimento aereo."
bows,Bows and Arrows,Weapon_Bow_026,Arco bestiale,"Un arco lynel dotato di un telaio più massiccio. Anche la corda è di un metallo più resistente, tanto da essere difficile da tendere per un normale Hylia."
bows,Bows and Arrows,Weapon_Bow_027,Dragoarco boblin,"Un arco boblin rinforzato da ossa fossili. I boblin che lo hanno creato ce l'hanno messa tutta per selezionare i materiali migliori, ottenendo una buona potenza."
bows,Bows and Arrows,Weapon_Bow_028,Arco aquila,"Un arco senza paragoni, usato dal campione Revali. Si narra che Revali fosse in grado di scoccare frecce a velocità inaudita e che non avesse rivali nel combattimento aereo."
bows,Bows and Arrows,Weapon_Bow_029,Arco della concentrazione,"Un arco tramandato dagli Sheikah. Si dice che se l'arciere si concentra prima di rilasciare la freccia, è possibile colpire bersagli molto lontani come se fossero vicini."
bows,Bows and Arrows,Weapon_Bow_030,Arco lizal d'acciaio,"Arco riservato ai guerrieri lizalfos che si distinguono nel tiro con l'arco, ha un telaio rinforzato in metallo che lo rende più pesante, ma anche molto più resistente."
bows,Bows and Arrows,Weapon_Bow_032,Arco bestiale divino,"Un arco lynel fatto di un metallo speciale che si trova in cima al Monte Morte. Lancia più frecce alla volta, ha un alto potere d'arresto e perfora le corazze come fossero di carta."
bows,Bows and Arrows,Weapon_Bow_033,Arco da guardia reale,"Un arco creato dagli Sheikah per combattere la grande calamità. È un prototipo, realizzato con tecnologia ancestrale, dal tiro rapido e potente, ma dalla resistenza non elevata."
bows,Bows and Arrows,Weapon_Bow_035,Arco da cavaliere,"Un arco usato dai cavalieri del castello di Hyrule. Consente un tiro preciso e affidabile, ed è piuttosto resistente grazie al telaio in metallo."
bows,Bows and Arrows,Weapon_Bow_036,Arco reale,"Un'arma donata dal re di Hyrule ai cavalieri che eccellevano nel tiro con l'arco. La sua forma stravagante attira gli sguardi, ma è un arco dotato di ottima gittata."
bows,Bows and Arrows,Weapon_Bow_038,Arco di legno,"Un arco di legno utile per cacciare piccoli animali, ma non molto affidabile negli scontri con i mostri."
bows,Bows and Arrows,Weapon_Bow_040,Arco a doppiotiro,"Un arco usato dai membri degli Yiga che eccellono come arcieri. È pensato per scoccare due frecce alla volta, in modo da arrestare qualunque bersaglio."
bows,Bows and Arrows,Weapon_Bow_072,Arco del crepuscolo,"Appartiene alla famiglia reale dall'antichità. Usato dalla principessa nella battaglia contro le creature del crepuscolo, scaglia potenti frecce a lungo raggio."
bows,Bows and Arrows,Weapon_Bow_101,Arco di zonanio,Un arco Zonau che sfrutta l'energia Zonau per attaccare. L'energia usata e la distanza coperta dalla freccia aumentano in base a quanto tieni tesa la corda per caricare il tiro.
bows,Bows and Arrows,Weapon_Bow_104,Arco del golem,"Un arco usato da un golem capitano. Sebbene sia di semplice costruzione, è realizzato in materiale ignifugo e perciò non va a fuoco, a differenza di un arco normale."
bows,Bows and Arrows,Weapon_Bow_105,Arco del golem rinforzato,"Robusto arco da golem capitano. Oltre a non poter bruciare, la sua potenza è stata aumentata così da poter realizzare attacchi più devastanti."
bows,Bows and Arrows,Weapon_Bow_106,Arco del golem massiccio,"Un potente arco usato da un golem capitano. Pur restando ignifugo, ha una struttura più complessa. Serve una forza straordinaria per tirare la sua corda estremamente rigida."
bows,Bows and Arrows,Weapon_Bow_107,Arco di legno antico,"Un arco di legno usato secoli fa. Non è molto potente, perché era stato progettato principalmente per la caccia."
bows,Bows and Arrows,Weapon_Bow_166,Arco del re dei demoni,"L'arco magico prediletto dal re dei demoni. La sua efficacia riflette il potere di chi lo brandisce. Più alto è il numero massimo di cuori, più elevata è la sua potenza d'attacco."
weapons,Weapons,Weapon_Lsword_001,Spadone da viandante,Una spada a due mani apprezzata un tempo da molti avventurieri. Il suo peso notevole è un vantaggio contro i mostri e permette di far volare via i loro scudi.
weapons,Weapons,Weapon_Lsword_002,Spadone da soldato,"Uno spadone a due mani migliorato per il combattimento. È molto leggero, il che lo rende facile da maneggiare. Consuma meno vigore quando esegui colpi caricati."
weapons,Weapons,Weapon_Lsword_003,Spadone da cavaliere,Solo i cavalieri più poderosi del castello di Hyrule erano in grado di brandire quest'arma a due mani. Ti permette di eseguire attacchi più potenti quando ti resta un cuore o meno.
weapons,Weapons,Weapon_Lsword_019,Braccio di stalgrublin,"Il braccio ossuto di uno stalgrublin, staccato dal resto del corpo. Può essere usato come arma contundente, ma è estremamente fragile e si rompe con facilità."
weapons,Weapons,Weapon_Lsword_020,Spadone arrugginito,"Uno spadone abbandonato alle intemperie. Può ancora essere usato in combattimento, ma la lama arrugginita ha scarsa resistenza e si rompe dopo pochi colpi."
