type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,旅人の弓,旅人が使う護身用の小振りな弓矢があれば 離れた敵を攻撃する事ができる
bows,Bows and Arrows,Weapon_Bow_002,兵士の弓,戦闘用に攻撃力を高めた弓より大きなダメージを与える事ができる木で作られているので 火が付くと燃えてしまう
bows,Bows and Arrows,Weapon_Bow_003,トゲボコ弓,動物の骨をくくりつけて 強化されたボコ弓乱暴な作りではあるが 軽くて扱いやすい耐久性が増しており 射撃の威力も上がった
bows,Bows and Arrows,Weapon_Bow_004,ボコ弓,ボコブリンが使う 簡素な弓適当な木の枝に弦を張っただけなので射撃の威力は あまり期待できない
bows,Bows and Arrows,Weapon_Bow_006,リザルボウ,リザルフォスが作った木製の弓大型の魚の骨を組み合わせて作られており単純な木製の弓よりも 破壊力がある
bows,Bows and Arrows,Weapon_Bow_009,ライネルの弓,ライネルが携える 武骨な金属製の弓複数の矢を 同時に打ち出す事ができる広がる射線は 素早く動く敵を射抜くのに最適
bows,Bows and Arrows,Weapon_Bow_011,強化リザルボウ,金属で持ち手を 強化されたリザルボウ弓本体には 水辺に生えたよくしなる木の枝を使っており あなどれない射撃性能を持つ
bows,Bows and Arrows,Weapon_Bow_013,森人の弓,コログ族が人間のために作ったといわれる弓良くしなる木材と 丈夫な草のツルで作られており簡素な見た目に反して 一度に複数射る事ができる
bows,Bows and Arrows,Weapon_Bow_014,ゾーラの弓,ゾーラ族が漁などに使う弓射撃性能はそれほど高くないが 特殊な金属で作られており 耐久性は見た目より優れている
bows,Bows and Arrows,Weapon_Bow_015,ゲルドの弓,ゲルド族が使う 繊細な装飾が施された弓広い砂漠での狩りや戦闘の際に 遠くの物を狙い撃つ事ができるよう 工夫が施されている
bows,Bows and Arrows,Weapon_Bow_016,ツバメの弓,リト族で一般的に使われている弓 空中での射撃に適した 工夫が弦にされており普通の弓より 少し早く引き絞る事ができる
bows,Bows and Arrows,Weapon_Bow_017,ハヤブサの弓,リト族の名工が作り上げた 洗練された弓空の戦いに秀でるリトの戦士が 好んで使っている一般的な弓より 素早く引き絞る事ができる
bows,Bows and Arrows,Weapon_Bow_026,獣王の弓,より重厚な作りになったライネルの弓本体だけではなく 弦も強靱な金属で作られており普通の人間にとっては 引き絞る事すら難しい
bows,Bows and Arrows,Weapon_Bow_027,竜骨ボコ弓,化石の骨を組み合わせて 強化されたボコ弓ボコブリンなりに厳選した素材で作られているらしく 中々の射撃性能を持つ
bows,Bows and Arrows,Weapon_Bow_028,オオワシの弓,英傑リーバルが携えていた 稀代の名弓 疾風の如き速さで この弓を射るリーバルに空中戦で敵う者はいなかったと言われている
bows,Bows and Arrows,Weapon_Bow_029,一心の弓,シーカー族に伝わる弓 精神統一をしてこの弓を引くと 遠くの敵がまるで近くにいるかのように狙い撃つ事ができると言われている
bows,Bows and Arrows,Weapon_Bow_030,鋼鉄リザルボウ,リザルフォスの中でも弓の扱いに長ける個体のみが持つ弓 強化のために金属が多く使われており 重量があるが耐久性も高め
bows,Bows and Arrows,Weapon_Bow_032,獣神の弓,デスマウンテン山頂から取れる特殊な金属で作られたライネルの剛弓 複数放たれる矢は凄まじい威力を持ち 分厚い鎧も紙のように貫く
bows,Bows and Arrows,Weapon_Bow_033,近衛の弓,大厄災への対策として シーカー族が作った弓古代技術を使った試作的な武器であるため 高い射撃力と速射性を持つが 耐久力が低くなっている
bows,Bows and Arrows,Weapon_Bow_035,騎士の弓,ハイラル城の騎士たちが使っていた弓クセがなくて使いやすく 安定した射撃ができる金属製なので耐久性も優れている
bows,Bows and Arrows,Weapon_Bow_036,王家の弓,ハイラルの騎士の中でも 特に弓術に秀でた者に対して ハイラル王から与えられた弓豪奢な意匠が目を引くが 射撃性能も優れている
bows,Bows and Arrows,Weapon_Bow_038,木の弓,小型の動物を狩るために作られた 木製の弓魔物と戦うには心もとない
bows,Bows and Arrows,Weapon_Bow_040,二連弓,イーガ団の中でも 弓術が得意な構成員が使う弓狙った敵を確実に仕留めるために 一度に2本の矢を撃てるような 工夫がされている
bows,Bows and Arrows,Weapon_Bow_072,黄昏の弓,古くからハイラル王家に伝わる弓黄昏の魔物と戦った姫が使ったと言われ放たれる矢は力強く 長い射程を誇る
bows,Bows and Arrows,Weapon_Bow_101,ゾナニウムの弓,射撃の際にエネルギーを消費する ゾナウ族の弓 引き絞って力を溜めた時間に応じて消費エネルギーと放つ矢の飛距離が増加する
bows,Bows and Arrows,Weapon_Bow_104,ゴーレムの弓,隊長ゴーレムが装備している弓簡単な構造だが 不燃性の素材でできており木製の弓のように燃える事は無い
bows,Bows and Arrows,Weapon_Bow_105,ゴーレムの強弓,隊長ゴーレムが装備している硬い弓高温で燃えないだけでなく 弓自体の強度も上がりより強い矢を放てるようになった
bows,Bows and Arrows,Weapon_Bow_106,ゴーレムの剛弓,隊長ゴーレムが装備している強力な弓燃えない特徴はそのままに 構造を複雑化しているツルが非常に硬く 並の力では引く事が難しい
bows,Bows and Arrows,Weapon_Bow_107,古びた木の弓,作りの古い木製の弓動物を狩るために作られたもので威力は大きくない
bows,Bows and Arrows,Weapon_Bow_166,魔王の弓,持つ者の力に応じ 発揮する性能が変化する魔王が愛用した魔弓ハートの最大値が大きいほど攻撃力が上がる
weapons,Weapons,Weapon_Lsword_001,旅人の両手剣,各地を旅する冒険者が愛用した両手持ちの剣魔物との戦いではその重さを生かし敵の構えた盾を吹き飛ばす事ができる
weapons,Weapons,Weapon_Lsword_002,兵士の両手剣,戦闘用に改良された両手剣扱いやすいように軽量化されていて タメ攻撃のがんばり消費を抑える事ができる
weapons,Weapons,Weapon_Lsword_003,騎士の両手剣,ハイラル城を守る騎士の中でも 十分な力量を持つ者が携えていた大剣 ハートが1個以下の時に強力な攻撃を繰り出す事ができる
weapons,Weapons,Weapon_Lsword_019,モリブリンの骨,腕だけになっても動き続けている モリブリンの骨長くて太い骨は 武器として使うに十分な打撃力を持つが 非常にもろく壊れやすい
weapons,Weapons,Weapon_Lsword_020,錆びた両手剣,長く放置されて 錆びついてしまった大剣武器として使う事はできるが 耐久性は低く何度か使うと簡単に壊れてしまう
weapons,Weapons,Weapon_Lsword_024,王家の両手剣,ハイラル王家の直属部隊に与えられた大剣その一振りの威力は大きく 回避ジャスト時のラッシュ攻撃が強力になる 特性を持つ
weapons,Weapons,Weapon_Lsword_027,ゾーラの大剣,特殊な金属を用いてゾーラ族が作った大剣ゾーラは槍を好むため あまり使う者がいないが水に濡れると高い攻撃力を発揮する
weapons,Weapons,Weapon_Lsword_029,ゲルドの両手剣,ゲルド族の中の 剣術に優れた者が装備した大剣先端に素材を付けると 剣が壊れやすくなる代わりその力を限界まで引き出す 特性を持つ
weapons,Weapons,Weapon_Lsword_036,石打ち,分厚く硬い金属で作られたゴロンの両手剣刃は付いておらず 斬れ味は全くないが その硬度と重量は 採掘するのに最適である
weapons,Weapons,Weapon_Lsword_038,船のオール,漁船に備え付けられている道具本来武器ではないが 護身用には十分使える水に強い木材で作られており 結構丈夫
weapons,Weapons,Weapon_Lsword_041,残心の太刀,シーカー族にのみ伝わる片刃の剣伝統的な技術で丁寧に鍛えられており精神統一して振りぬくと 真空の刃が放てる
weapons,Weapons,Weapon_Lsword_045,畑のクワ,土を掘り起こし 畑をたがやすのに使われる農具畑仕事に耐えられるような 丈夫な作りをしており使いようによっては十分 武器になる
weapons,Weapons,Weapon_Lsword_047,近衛の両手剣,シーカー族が古代技術の粋を集めて作った大剣耐久性に難があるが 壊れそうになると大きな攻撃力を発揮する 特性を持つ
weapons,Weapons,Weapon_Lsword_051,ビッグブーメラン,両手で振るう必要があるほど巨大なブーメラン狩猟用だった物を戦闘用に改良しており湾曲した内側に刃がある 扱いが非常に難しい
weapons,Weapons,Weapon_Lsword_054,巨岩砕き,英傑ダルケルが携えていた 最硬級の大剣ダルケルはこの大剣を軽々と振るっていたが人間が使いこなすには かなりの熟練が必要
weapons,Weapons,Weapon_Lsword_057,黄昏の大剣,はるか遠い昔 ハイラル王国に伝わったとされる 細身の大剣その刀身は 神秘的な白い輝きを放っている
weapons,Weapons,Weapon_Lsword_059,ダイゴロン刀,ゴロンの名匠が 時を超えて旅をした勇者のために作ったと言われる 伝説的な剛剣匠の業が光る抜群の切れ味を持つ
weapons,Weapons,Weapon_Lsword_060,鬼神の大剣,月が落ちてくる世界の勇者が所持していたと言われている異形の大剣 これを手にした者はまさに鬼神のごとき戦いぶりを見せるという
weapons,Weapons,Weapon_Lsword_101,ゾナニウムの大剣,素材にゾナニウムを使った ゾナウ族の大きな剣ゾナウギアやゾナウ文明の素材を付けると通常より攻撃力がわずかに上がる 特性を持つ
weapons,Weapons,Weapon_Lsword_103,太い棒,大きな木から切り落とした棒それほど頑丈さはないが 先端が重いので振り回せば 盾を弾き飛ばす事ができる
weapons,Weapons,Weapon_Lsword_106,旅人の両手剣,各地を旅する冒険者が愛用した汎用の両手剣朽ちて斬れ味は良くないが敵の構えた盾を吹き飛ばす事ができる
weapons,Weapons,Weapon_Lsword_108,丈夫な太棒,丈夫な木から切り落とした硬い棒いびつな形に太く成長した枝はその見た目に反し 耐久力が高い
weapons,Weapons,Weapon_Lsword_109,節くれ太棒,樹木の幹に近い部分から切り出した棒乾燥する事で硬度が増し木製とは思えないほど 攻撃力が高い
weapons,Weapons,Weapon_Lsword_112,兵士の両手剣,城の兵士用に 薄く軽量に仕上げた金属の両手剣その軽さのため 振り回しても疲れにくくタメ攻撃のがんばり消費を抑える事ができる
weapons,Weapons,Weapon_Lsword_113,騎士の両手剣,城を守る騎士が携えていた両手剣 大切なものを守る想いに呼応し ハートの残りが1個まで減ると強力な攻撃を繰り出せる
weapons,Weapons,Weapon_Lsword_114,残心の太刀,刀身が朽ちてしまった片刃の大剣朽ちて斬れ味は落ちてしまっているが精神統一して振り抜くと 真空の刃が放てる
weapons,Weapons,Weapon_Lsword_124,王家の両手剣,王家直属部隊が賜った大剣 扱う難度は高いが熟練の使い手に向けて調整されており回避ジャスト時のラッシュ攻撃が強力
weapons,Weapons,Weapon_Lsword_127,ゾーラの大剣,刀身が朽ちてしまったゾーラ族の大剣濡れた状態で高い攻撃力を発揮する 特殊な金属が使われていて 水辺での戦いに適している
