type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,여행자의 활,여행자가 사용하는 자그마한 호신용 활화살이 있으면 떨어져 있는 적을 공격할 수 있다
bows,Bows and Arrows,Weapon_Bow_002,병사의 활,전투용으로 공격력을 높인 활보다 큰 대미지를 입힐 수 있다나무로 만들어져 불이 붙으면 타 버린다
bows,Bows and Arrows,Weapon_Bow_003,가시 보코활,"동물의 뼈를 동여매 강화시킨 보코활거친 제작법이긴 하지만 가볍고 다루기 쉽다내구성이 늘었으며, 사격 위력 또한 올랐다"
bows,Bows and Arrows,Weapon_Bow_004,보코활,보코블린이 사용하는 간소한 활나뭇가지에 활시위를 달았을 뿐이라사격 위력은 그다지 기대할 수 없다
bows,Bows and Arrows,Weapon_Bow_006,리잘보우,리잘포스가 만든 목제 활커다란 생선 뼈를 조합해 제작되었고단순한 목제 활보다 파괴력이 높다
bows,Bows and Arrows,Weapon_Bow_009,라이넬의 활,라이넬이 쓰는 투박한 금속제의 활복수의 화살을 동시에 쏠 수 있다날쌔게 움직이는 적을 맞히기에 최적화되었다
bows,Bows and Arrows,Weapon_Bow_011,강화 리잘보우,금속으로 손잡이를 강화한 리잘보우활 본체엔 물가에 나는 잘 휘는 나뭇가지를사용하였으며 얕볼 수 없는 사격 성능을 지녔다
bows,Bows and Arrows,Weapon_Bow_013,숲에 사는 자의 활,코로그족이 인간을 위해 제작했다고 전해지는 활잘 휘어지는 목재와 튼튼한 풀로 제작되어간소한 외양과 달리 한 번에 여러 발을 쏠 수 있다
bows,Bows and Arrows,Weapon_Bow_014,조라의 활,"조라족이 고기잡이 등에 사용하는 활사격 성능은 그리 좋지 않지만 특수한 금속으로제작되어, 보기보다 내구성이 뛰어나다"
bows,Bows and Arrows,Weapon_Bow_015,겔드의 활,"겔드족이 사용하는 섬세한 장식의 활넓은 사막에서의 사냥이나 전투 시, 먼 곳을저격할 수 있도록 심혈을 기울여 제작되었다"
bows,Bows and Arrows,Weapon_Bow_016,제비의 활,리토족이 일반적으로 사용하는 활공중 사격에 적합하다. 활시위를 정교하게 만들어보통 활보다 조금 더 빠르게 활시위를 당길 수 있다
bows,Bows and Arrows,Weapon_Bow_017,매의 활,리토족의 명장이 제작한 세련된 활공중전에 출중한 리토의 전사가 즐겨 사용한다일반적인 활보다 재빨리 활시위를 당길 수 있다
bows,Bows and Arrows,Weapon_Bow_026,야수왕의 활,보다 정교하게 만들어진 라이넬의 활본체뿐 아니라 활시위까지 강인한 금속으로 제작돼평범한 인간은 활시위를 당기는 것조차 버겁다
bows,Bows and Arrows,Weapon_Bow_027,용골 보코활,화석의 뼈를 조합해 강화시킨 보코활보코블린 나름대로 엄선한 소재로제작한 모양인지 상당한 사격 성능을 지녔다
bows,Bows and Arrows,Weapon_Bow_028,참수리의 활,영걸 리발이 쓰던 희대의 명궁질풍 같은 빠르기로 이 활을 쏘는 리발에게공중전에서 대적할 수 있는 이는 없었다고 전해진다
bows,Bows and Arrows,Weapon_Bow_029,일심의 활,"시커족에서 전해져 내려오는 활정신을 통일하여 이 활을 쏘면, 먼 곳의 적도가까이 있는 것처럼 쏠 수 있다고 전해진다"
bows,Bows and Arrows,Weapon_Bow_030,강철 리잘보우,리잘포스 중에서도 활에 능한 개체만이 쓰는 활강화를 위해 금속이 다량 사용되었으며그만큼 무겁지만 내구성도 높은 편
bows,Bows and Arrows,Weapon_Bow_032,야수신의 활,데스마운틴 정상에서 채집되는 특수한 금속으로제작된 라이넬의 강철 활. 복수로 쏘아지는 화살은위력이 엄청나며 두꺼운 갑옷도 종이처럼 꿰뚫는다
bows,Bows and Arrows,Weapon_Bow_033,근위의 활,대재앙에 대한 대책으로 시커족이 제작한 활고대 기술을 사용한 시험작에 가까운 무기로높은 공격력과 속사성을 지녔지만 내구력이 낮다
bows,Bows and Arrows,Weapon_Bow_035,기사의 활,하이랄 성의 기사들이 사용했던 활다루기 편해서 안정된 사격이 가능하다금속제라 내구성도 뛰어나다
bows,Bows and Arrows,Weapon_Bow_036,왕가의 활,하이랄 기사 중에서도 특히 궁술이특출난 이에게 하이랄 왕이 하사한 활화려한 디자인이 눈을 끌지만 사격 성능도 뛰어나다
bows,Bows and Arrows,Weapon_Bow_038,나무 활,소형 동물을 사냥하기 위해 제작된 목제 활몬스터와 싸우기엔 불안하다
bows,Bows and Arrows,Weapon_Bow_040,이연궁,이가단 안에서도 궁술이 특기인 구성원이 쓰는 활적의 숨통을 확실하게 끊어 놓기 위해한 번에 두 발의 화살이 발사되도록 고안되었다
bows,Bows and Arrows,Weapon_Bow_072,황혼의 활,예로부터 하이랄 왕가에 전해지는 활황혼의 몬스터와 싸운 공주가 썼다고 전해지며발사된 화살은 강한 위력과 긴 사거리를 자랑한다
bows,Bows and Arrows,Weapon_Bow_101,조나니움 활,사격 시에 에너지를 소비하는 조나우족의 활시위를 당겨 힘을 모으고 있었던 시간에 따라소비 에너지와 화살의 비거리가 증가한다
bows,Bows and Arrows,Weapon_Bow_104,골렘의 활,대장 골렘이 장비한 활간단한 구조지만 불에 타지 않는 소재로 만들어져나무로 만든 활처럼 불에 타는 일은 없다
bows,Bows and Arrows,Weapon_Bow_105,튼튼한 골렘의 활,대장 골렘이 장비한 튼튼한 활고온에서 불에 타지 않는 것뿐만 아니라 활의 강도도더 강해져 한층 강한 화살을 쏠 수 있게 되었다
bows,Bows and Arrows,Weapon_Bow_106,강력한 골렘의 활,대장 골렘이 장비한 강력한 활불에 타지 않는 특징을 유지한 채로 구조가 복잡해졌다시위가 매우 질겨 어중간한 힘으로는 당길 수도 없다
bows,Bows and Arrows,Weapon_Bow_107,낡은 나무 활,오래된 나무 활동물을 사냥하기 위해 제작된 것으로위력은 강하지 않다
bows,Bows and Arrows,Weapon_Bow_166,마왕의 활,마왕이 애용했던 마궁소유자의 힘에 따라 다른 성능을 발휘한다하트 최대치가 많을수록 공격력이 상승한다
weapons,Weapons,Weapon_Lsword_001,여행자의 양손검,각지를 여행하는 모험가가 애용한 양손검몬스터와의 전투에선 그 중량을 이용해서적이 장비한 방패를 날릴 수 있다
weapons,Weapons,Weapon_Lsword_002,병사의 양손검,전투용으로 개량된 양손검다루기 쉽도록 경량화되어 있어모으기 공격 시 스태미나 소비를 억제한다
weapons,Weapons,Weapon_Lsword_003,기사의 양손검,하이랄을 지키는 기사 중에서도 특히 높은 역량을지닌 자가 사용하던 대검. 남은 하트가 1개 이하일 때강력한 공격을 펼칠 수 있다
weapons,Weapons,Weapon_Lsword_019,모리블린의 뼈,"팔만 남아도 계속 움직이는 모리블린의 뼈길고 굵은 뼈는 무기로 사용하기에 충분한타격력을 지녔지만, 굉장히 물러 잘 망가진다"
weapons,Weapons,Weapon_Lsword_020,녹슨 양손검,오랜 시간 방치되어 녹이 슨 대검무기로 쓸 수는 있지만 내구성이 낮아조금만 휘둘러도 간단히 망가져 버린다
weapons,Weapons,Weapon_Lsword_024,왕가의 양손검,하이랄 왕가의 직속 부대에 하사된 대검강력한 공격을 할 수 있어 회피 저스트 시러시 공격이 강력해지는 특성을 지녔다
weapons,Weapons,Weapon_Lsword_027,조라의 대검,조라족이 특수한 금속을 사용하여 제작한 대검조라는 창을 선호하기 때문에 많이 쓰이진 않지만물에 젖으면 높은 공격력을 발휘한다
weapons,Weapons,Weapon_Lsword_029,겔드의 양손검,겔드족 중에서도 검술이 뛰어난 자가 장비한 대검끝에 소재를 붙이면 검이 부서지기 쉬워지는 대신그 힘을 한계까지 끌어내는 특성을 지녔다
