type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,Reizigersboog,Een kleine boog die wordt gebruikt door reizigers. Gebruik pijlen om tegenstanders van een afstand aan te vallen.
bows,Bows and Arrows,Weapon_Bow_002,Soldatenboog,"Een boog die is aangepast voor gevechten. Veroorzaakt meer schade, maar vliegt ook in brand na aanraking met vuur."
bows,Bows and Arrows,Weapon_Bow_003,Boko-bottenboog,"Een verbeterde Boko-boog die is verstevigd met dierenbotten om hem accurater en krachtiger te maken. Nog steeds geen beste kwaliteit, maar al beter dan de Boko-boog."
bows,Bows and Arrows,Weapon_Bow_004,Boko-boog,"Een eenvoudige Bokoblin-boog gemaakt van hout. De boog is eigenlijk gewoon een tak met een pees, dus erg krachtig is hij niet."
bows,Bows and Arrows,Weapon_Bow_006,Lizal-boog,Een houten boog gemaakt door Lizalfossen. Hij is verstevigd met vissengraten waardoor hij krachtiger is dan een normale boog.
bows,Bows and Arrows,Weapon_Bow_009,Lynel-boog,Een boog gemaakt door Lynels uit ruw metaal. Kan meerdere pijlen tegelijk afvuren. Dit waaierpatroon is ideaal om snel bewegende vijanden mee te raken.
bows,Bows and Arrows,Weapon_Bow_011,Verstevigde Lizal-boog,Een Lizal-boog die is verstevigd met een metalen grip. De boog zelf is van flexibele takken gemaakt. De schotkracht is veel beter dan je zou denken.
bows,Bows and Arrows,Weapon_Bow_013,Woudboog,"Een boog die gemaakt is door de Koroks voor mensen. De boog bestaat uit flexibel hout en de pees is gemaakt van taai gras. Hij ziet er simpel uit, maar is best krachtig."
bows,Bows and Arrows,Weapon_Bow_014,Zora-boog,"Een boog die door de Zora's wordt gebruikt om mee te vissen. De boog is niet erg krachtig, maar door het speciale materiaal waar hij van gemaakt is wel vrij stevig."
bows,Bows and Arrows,Weapon_Bow_015,Gerudo-boog,Een boog die door Gerudo's wordt gebruikt voor de jacht en voor oorlogsvoering. De boog is speciaal gemaakt om doelen over een grote afstand mee te raken.
bows,Bows and Arrows,Weapon_Bow_016,Zwaluwboog,"Een boog die meestal wordt gebruikt door de Rito's. De pees is aangepast voor lucht-gevechten, waardoor hij sneller pijlen kan afvuren dan een normale boog."
bows,Bows and Arrows,Weapon_Bow_017,Valkenboog,Deze verfijnde boog is een echt vakwerkje. Hij is sneller spanbaar dan een gewone boog en wordt gebruikt door de Rito's voor lucht-gevechten.
bows,Bows and Arrows,Weapon_Bow_026,Machtige Lynel-boog,Een meer massieve variant van de bogen die Lynels maken. De pees is gemaakt van metaal en moeilijk door een mens in beweging te krijgen.
bows,Bows and Arrows,Weapon_Bow_027,Boko-drakenboog,"Een Boko-boog die is verstevigd met een fossiel bot. Bokoblins gebruiken zeldzame onderdelen om deze bogen te maken, en de kracht en stevigheid zijn niet slecht."
bows,Bows and Arrows,Weapon_Bow_028,Adelaarsboog,De onovertroffen boog van de Uitverkorene Revali. Hij zou er met de snelheid van een storm pijlen mee kunnen afvuren en hij overtrof iedereen tijdens luchtgevechten.
bows,Bows and Arrows,Weapon_Bow_029,Focusboog,"Een boog die al eeuwen in het bezit is van de Sheikahs. Als je je even concentreert voor je schiet, wordt het net zo makkelijk een doel ver weg te raken als dichtbij."
bows,Bows and Arrows,Weapon_Bow_030,Stalen Lizal-boog,"Een boog die alleen wordt gebruikt door Lizalfossen die uitblinken in boogschieten. De boog is verstevigd met metaal, waardoor hij zwaarder is maar ook een stuk steviger."
bows,Bows and Arrows,Weapon_Bow_032,Woeste Lynel-boog,Een Lynel-boog gemaakt met een speciaal soort erts dat alleen bij de piek van de Berg des Doods te vinden is. Deze boog schiet pijlen door plaatstaal alsof het nat papier is.
bows,Bows and Arrows,Weapon_Bow_033,Sheikah-boog,"Een boog gemaakt door de Sheikahs om het Onheil mee te bestrijden. Het is een prototype, waardoor de boog wel krachtig en snel, maar ook heel breekbaar is."
bows,Bows and Arrows,Weapon_Bow_035,Ridderboog,Een boog zoals die werd gebruikt door de ridders van Kasteel Hyrule. Deze boog is uitermate betrouwbaar en door de metalen constructie ook nog eens heel stevig.
bows,Bows and Arrows,Weapon_Bow_036,Koninklijke boog,"Een boog die werd uitgereikt door de koning van Hyrule aan de beste boogschutters van het land. Hij heeft een opvallend ontwerp, maar is ook zeer betrouwbaar en stevig."
bows,Bows and Arrows,Weapon_Bow_038,Houten boog,Een houten boog gemaakt voor de jacht op kleine dieren. Niet erg betrouwbaar tegen monsters.
bows,Bows and Arrows,Weapon_Bow_040,Dubbelboog,Een boog die wordt gebruikt door de boogschutters van de Yiga-bende. Hij vuurt twee pijlen tegelijk af en is daardoor heel effectief in het uitschakelen van een doelwit.
bows,Bows and Arrows,Weapon_Bow_072,Schemerboog,Deze boog is reeds lange tijd in het bezit van de koninklijke familie. Hij schijnt gebruikt te zijn door de prinses die tegen schemerwezens vocht. Schiet zijn pijlen krachtig en ver.
bows,Bows and Arrows,Weapon_Bow_101,Zonanium boog,"Een Zonai-boog die zonaniumenergie verbruikt bij het schieten. Hoe langer je een schot oplaadt, hoe meer energie je nodig hebt en hoe verder je pijl vliegt."
bows,Bows and Arrows,Weapon_Bow_104,Zonoïdeboog,"Een boog van een zonoïdeofficier. Eenvoudig, maar gemaakt van vuurbestendig materiaal en dus niet brandbaar, zoals houten bogen."
bows,Bows and Arrows,Weapon_Bow_105,Zonoïdeboog+,Een stevige boog van een zonoïdeofficier. Niet brandbaar en zodanig versterkt dat je er pijlen krachtiger mee kunt afschieten.
bows,Bows and Arrows,Weapon_Bow_106,Zonoïdeboog++,"Een krachtige boog van een zonoïdeofficier. Hij is vuurbestendig, maar het trekken aan de harde pees vereist enorm veel kracht."
bows,Bows and Arrows,Weapon_Bow_107,Oude houten boog,Een houten boog uit vroegere tijden. Hij is gemaakt voor de jacht op dieren en is niet erg krachtig.
bows,Bows and Arrows,Weapon_Bow_166,Demonenkoningboog,"Een door de demonenkoning gekoesterde boog, die zijn kracht ontleent aan de macht van de gebruiker. Hoe hoger je maximale aantal hartjes, des te hoger de aanvalskracht."
weapons,Weapons,Weapon_Lsword_001,Reizigersgrootzwaard,Een tweehandig zwaard dat ooit werd gebruikt door avonturiers. Door het enorme gewicht kun je makkelijk het schild van een tegen-stander wegmeppen.
weapons,Weapons,Weapon_Lsword_002,Soldatengrootzwaard,Een zwaard dat verbeterd is voor de strijd. Het is lichter gemaakt zodat het makkelijker te gebruiken is. Verbruikt minder energie voor een oplaadaanval.
weapons,Weapons,Weapon_Lsword_003,Tweehandig ridderzwaard,Een groot zwaard dat werd gebruikt door de sterkste ridders die Kasteel Hyrule bescherm-den. Je kunt er krachtige aanvallen mee uitvoeren als je één hartje of minder hebt.
weapons,Weapons,Weapon_Lsword_019,Moblin-arm,"Skelet-Moblin-botten die onophoudelijk bewegen, zelfs al is het enkel een arm. Je kunt deze lange arm als wapen gebruiken."
weapons,Weapons,Weapon_Lsword_020,Verroest slagzwaard,"Dit zwaard heeft weer en wind doorstaan en is daardoor volledig verroest. Je kunt het nog wel gebruiken, maar het zal heel snel breken."
weapons,Weapons,Weapon_Lsword_024,Koninklijk slagzwaard,Een tweehandig zwaard van de lijfwacht van de koninklijke familie. Geschikt voor krachtige slagen. Vergroot de kracht van een sprintaanval wanneer je perfect ontwijkt.
weapons,Weapons,Weapon_Lsword_027,Zora-grootzwaard,Een grootzwaard dat uit een speciaal metaal is gesmeed. Het is niet vaak gebruikt omdat Zora's een voorkeur hebben voor speren. De aanvalskracht ervan is groter als het nat is.
weapons,Weapons,Weapon_Lsword_029,Gerudo-grootzwaard,"Dit slagzwaard wordt alleen gebruikt door de beste Gerudo-zwaardvechtsters. Het benut de kracht van aangehecht materiaal optimaal, maar wint daardoor weinig aan duurzaamheid."
weapons,Weapons,Weapon_Lsword_036,Steenwerper,"Een door Gorons gemaakt tweehandig wapen van dik, hard metaal. Het is niet scherp, maar het gewicht maakt het enorm geschikt om mee te graven."
weapons,Weapons,Weapon_Lsword_038,Roeispaan,"Een stuk hout dat wordt gebruikt om een roeiboot in beweging te krijgen. Het is geen wapen, maar je kunt er aardig mee meppen. Het hout is van vrij goede kwaliteit."
weapons,Weapons,Weapon_Lsword_041,Achtvoudige nodachi,Een eensnijdend zwaard dat zeldzaam is in Hyrule. Het wapen is al eeuwen in het bezit van de Sheikahs. Een begaafde gebruiker creëert er een snijdende windvlaag mee.
weapons,Weapons,Weapon_Lsword_045,Schoffel,"Een stuk tuingereedschap dat wordt gebruikt om de bodem om te woelen. Het is stevig zodat het zware arbeid kan weerstaan, dus het is eigenlijk een best aardig wapen."
weapons,Weapons,Weapon_Lsword_047,Sheikah-grootzwaard,"Een prototype zwaard gemaakt door de Sheikahs. Weinig duurzaam, maar heeft een grote aanvalskracht wanneer het wapen op het punt staat te breken."
weapons,Weapons,Weapon_Lsword_051,Grote boemerang,"Een boemerang die zo groot is dat je hem met twee handen vast moet houden. Oorspronkelijk bedoeld voor de jacht, maar nu ook geschikt om ermee te vechten."
weapons,Weapons,Weapon_Lsword_054,Steenpletter,"Dit is het grootste wapen van de Gorons en alleen hun Uitverkorene, Daruk, kon ermee overweg. Hij zwaaide het met gemak rond, maar als Hyliaan is dat aanzienlijk moeilijker."
weapons,Weapons,Weapon_Lsword_057,Schemerslagzwaard,Dit slanke slagzwaard zou lang geleden in het bezit gekomen zijn van de koninklijke familie van Hyrule. Het lemmet gloeit met een heilig wit licht.
weapons,Weapons,Weapon_Lsword_059,Biggorons zwaard,Een legendarisch slagzwaard dat is gemaakt door een meestersmid van de Gorons voor een held die door de tijd reisde. Het zwaard is verrassend scherp.
weapons,Weapons,Weapon_Lsword_060,Fierce Deity's tweehander,Een vreemd slagzwaard dat in het bezit was van de held van een wereld waar de maan dreigde in te slaan. Degene met dit zwaard verandert in de strijd in een woeste krijger.
weapons,Weapons,Weapon_Lsword_101,Zonanium slagzwaard,"Een groot zwaard van de Zonais van zonanium. Als je er een Zonai-werktuig of ander Zonai-materiaal aan hecht, krijgt de aanvalskracht een kleine bonus."
weapons,Weapons,Weapon_Lsword_103,Dikke stok,"Een stok gemaakt van een tak van een grote boom. Niet erg stevig, maar kan worden gebruikt om een schild weg te slaan."
weapons,Weapons,Weapon_Lsword_106,Reizigersgrootzwaard,"Een tweehandig zwaard dat ooit werd gebruikt door avonturiers. Het ziet er verweerd uit en is niet meer zo scherp, maar het kan wel nog het schild van een tegenstander wegmeppen."
weapons,Weapons,Weapon_Lsword_108,Sterke dikke stok,"Een stok gemaakt van een vreemd vergroeide tak van een grote boom. Hij gaat heel lang mee, ook al ziet hij er niet zo duurzaam uit."
weapons,Weapons,Weapon_Lsword_109,Extra sterke dikke stok,Een stok gemaakt van de stam van een boom. Hij is gedroogd zodat hij extra hard is. Ook heeft hij een aanvalskracht die ongekend groot is voor een houten wapen.
weapons,Weapons,Weapon_Lsword_112,Soldatengrootzwaard,Een metalen zwaard voor de koninklijke soldaten. Zo licht dat het hanteren ervan bijna geen moeite kost. Oplaadaanvallen vergen daardoor minder energie.
weapons,Weapons,Weapon_Lsword_113,Tweehandig ridderzwaard,Dit zwaard werd ooit gebruikt door de ridders van Hyrule om te beschermen wat hen lief was. Je kunt er krachtige aanvallen mee uitvoeren als je nog maar één hartje hebt.
weapons,Weapons,Weapon_Lsword_114,Achtvoudige nodachi,"Een zwaard met een eensnijdend lemmet. Het is bijna vergaan en snijdt daarom niet goed meer, maar een begaafde gebruiker creëert er een snijdende windvlaag mee."
weapons,Weapons,Weapon_Lsword_124,Koninklijk slagzwaard,"Een groot zwaard van de lijfwacht van de koninklijke familie. Voor begaafde gebruikers, niet voor beginners. Vergroot de kracht van een sprintaanval wanneer je perfect ontwijkt."
weapons,Weapons,Weapon_Lsword_127,Zora-grootzwaard,"Een zwaard van de Zora's met een aangetast lemmet. Het is geschikt voor gevechten bij water, omdat het gemaakt is van metaal dat je aanvalskracht vergroot als het nat is."
weapons,Weapons,Weapon_Lsword_129,Gerudo-grootzwaard,"Een zwaard van de Gerudo's met een aangetast lemmet. Het benut de kracht van aangehecht materiaal optimaal, maar wint daardoor weinig aan duurzaamheid."
weapons,Weapons,Weapon_Lsword_136,Steenwerper,"Een wapen waar voorheen het gewicht van werd gebruikt om de tegenstander te vloeren. Aangetast, maar je kunt er nog keien mee verpletteren. Ideaal om mee te graven."
weapons,Weapons,Weapon_Lsword_147,Sheikah-grootzwaard,"Een prototype van de koninklijke garde. Weinig duurzaam, maar heeft een grote aanvalskracht wanneer het wapen op het punt staat te breken."
weapons,Weapons,Weapon_Lsword_161,Grote toverstaf,Een grote staf met een mysterieuze magische kracht. Het schijnt dat de staf lang geleden door een magiër is gebruikt om de slapende kracht van edelstenen te doen ontwaken.
weapons,Weapons,Weapon_Lsword_163,Zonanium slagzwaard+,"Een groot, sterk zwaard van de Zonais van zonanium. Als je er een Zonai-werktuig of ander Zonai-materiaal aan hecht, krijgt de aanvalskracht een bonus."
weapons,Weapons,Weapon_Lsword_164,Zonanium slagzwaard++,"Een groot, zeer krachtig zwaard van de Zonais van zonanium. Als je er een Zonai-werktuig of ander Zonai-materiaal aan hecht, krijgt de aanvalskracht een grote bonus."
weapons,Weapons,Weapon_Lsword_166,Metalen miasmaknuppel,Een onheilspellende metalen knuppel die door waanzin bezeten lijkt te zijn en symbool staat voor vernietiging. Het lichaam van de drager wordt geleidelijk aan aangetast door miasma.
weapons,Weapons,Weapon_Lsword_168,Dikke stok,"Een dikke stok gemaakt van een tak van een grote boom. Niet erg stevig, maar kan worden gebruikt om een schild weg te slaan."
weapons,Weapons,Weapon_Lsword_174,Grote boemerang,Een grote verweerde en aangetaste boemerang. Werd oorspronkelijk gebruikt om mee te jagen en is lastig om te gebruiken. Keert naar je terug als je hem goed gooit.
weapons,Weapons,Weapon_Spear_001,Reizigersspeer,Een speer die voornamelijk door reizigers wordt gebruikt om wolven en andere beesten op afstand te houden. Eenvoudig vast te houden en makkelijk te gebruiken.
weapons,Weapons,Weapon_Spear_002,Soldatenspeer,Een lange speer die werd gebruikt door soldaten. Om dit wapen goed te gebruiken is enige training vereist. Maakt snellere oplaadaanvallen mogelijk.
weapons,Weapons,Weapon_Spear_003,Ridderhellebaard,Door de speerpunt en het bijlblad is dit wapen vooral geschikt voor ervaren ridders te paard. Je kunt er krachtige aanvallen mee uitvoeren als je nog maar één hartje of minder hebt.
weapons,Weapons,Weapon_Spear_021,Verroeste hellebaard,"Deze hellebaard werd ooit gebruikt door ridders, maar door blootstelling aan de elementen is hij nu grotendeels verroest en breekt hij snel."
weapons,Weapons,Weapon_Spear_022,Hooivork,"Wordt meestal op boerderijen gebruikt om hooi te verzamelen. Hij is licht, dus iedereen kan ermee overweg. De vier punten zijn erg scherp."
weapons,Weapons,Weapon_Spear_024,Koninklijke hellebaard,Een hellebaard van de ridders die een belangrijke ruimte in het kasteel bewaakten. Vergroot de kracht van een sprintaanval wanneer je perfect ontwijkt.
weapons,Weapons,Weapon_Spear_025,Woudspeer,"Een speer die door de Koroks voor mensen is gemaakt. Van licht hout en makkelijk te gebruiken. Aangehecht plantaardig materiaal dat kan openbarsten, raakt nooit opgebruikt."
weapons,Weapons,Weapon_Spear_027,Zora-speer,"Deze speer is zeer geliefd bij de Zora's. Ze gebruiken hem niet alleen om mee te vissen, maar ook om hun paleis te beschermen. De aanvalskracht ervan is groter als hij nat is."
weapons,Weapons,Weapon_Spear_029,Gerudo-speer,"Deze speer is erg populair bij soldaten van de Gerudo's. Hij benut de kracht van aangehecht materiaal optimaal, maar wint daardoor weinig aan duurzaamheid."
weapons,Weapons,Weapon_Spear_030,Werpspeer,Een speciale speer die is gemaakt om naar je doelwit te gooien. Door de balans van punt en schacht kun je deze speer veel verder gooien dan een normale.
weapons,Weapons,Weapon_Spear_032,Eksterspeer,Een speer die zo licht is dat krijgers van de Rito's hem tijdens het vliegen gebruiken. Hij veroorzaakt een sterke windvlaag bij elke zwaai.
weapons,Weapons,Weapon_Spear_036,Zwabber,"Deze zwabber is in de eerste plaats bedoeld om de vloer mee te poetsen, maar doordat hij stevig in elkaar zit, kun je hem tijdelijk als wapen gebruiken."
weapons,Weapons,Weapon_Spear_038,Harpoen,Een gereedschap van vissers om grote vissen mee te vangen. Het heeft een scherpe punt en kan ook als wapen dienen. Alleen geschikt voor topvissers.
weapons,Weapons,Weapon_Spear_047,Sheikah-hellebaard,"Dit prototype is gemaakt door de Sheikahs. Weinig duurzaam, maar heeft een grote aanvalskracht wanneer het wapen op het punt staat te breken."
weapons,Weapons,Weapon_Spear_050,Lichtschubbenspeer,"Een gracieuze speer die zeer geliefd was bij de Uitverkorene Mipha. Hoewel ze gespecialiseerd was in genezende magie, was ze ook onovertroffen met een speer."
weapons,Weapons,Weapon_Spear_101,Zonanium speer,"Een zonanium speer van de Zonais. Als je er een Zonai-werktuig of ander Zonai-materiaal aan hecht, krijgt de aanvalskracht een kleine bonus."
weapons,Weapons,Weapon_Spear_103,Lange stok,Een lange stok gemaakt van een afgesneden tak. De rechte vorm maakt het wapen ideaal om stoten mee uit te delen.
weapons,Weapons,Weapon_Spear_106,Reizigersspeer,"Een standaardspeer die reizigers gebruiken ter bescherming. Hij is aangetast en niet erg scherp, maar de vorm maakt hem makkelijk bruikbaar."
weapons,Weapons,Weapon_Spear_108,Sterke lange stok,"Een stevige, lange stok van een kronkelige tak waar je beter mee kunt steken. Het hout is hard en daardoor erg duurzaam."
weapons,Weapons,Weapon_Spear_109,Extra sterke lange stok,Een dikke stok waarvan alle zijtakken zijn afgesneden. Heeft een grotere aanvalskracht dan een normale stok en door de bulten is het pijnlijker om ermee te worden geslagen.
weapons,Weapons,Weapon_Spear_112,Soldatenspeer,"Een lichte, metalen speer voor koninklijke soldaten. Maakt snellere oplaadaanvallen mogelijk, want hij is licht en makkelijk bruikbaar."
weapons,Weapons,Weapon_Spear_113,Ridderhellebaard,Deze hellebaard is gemaakt voor de ridders van Kasteel Hyrule. Dankzij het ridderlijke ethos kun je er krachtige aanvallen mee uitvoeren als je één hartje of minder hebt.
weapons,Weapons,Weapon_Spear_124,Koninklijke hellebaard,Niet makkelijk te hanteren. Behoorde toe aan de ridders die een belangrijke ruimte van het kasteel bewaakten. Vergroot de kracht van een sprintaanval wanneer je perfect ontwijkt.
weapons,Weapons,Weapon_Spear_125,Woudspeer,"Een levendige speer van de Koroks met een aangetaste punt. Aangehecht plantaardig materiaal dat kan openbarsten, raakt nooit opgebruikt."
weapons,Weapons,Weapon_Spear_127,Zora-speer,Een speer met een aangetaste punt. Hij is gemaakt van roestvrij metaal. De aanvals-kracht ervan is groter als hij nat is.
weapons,Weapons,Weapon_Spear_129,Gerudo-speer,"Een speer met een aangetaste punt die is gemaakt om kracht te verzamelen. Hij benut de kracht van aangehecht materiaal optimaal, maar wint daardoor weinig aan duurzaamheid."
weapons,Weapons,Weapon_Spear_132,Eksterspeer,"Een speer van de Rito-krijgers. De punt is compleet aangetast, maar dankzij de vorm ervan kun je er snel mee stoten. De stoten veroorzaken sterke windvlagen."
weapons,Weapons,Weapon_Spear_147,Sheikah-hellebaard,"Een prototype speer dat gebruikt wordt door ridders. Weinig duurzaam, maar heeft een grote aanvalskracht wanneer het wapen op het punt staat te breken."
weapons,Weapons,Weapon_Spear_161,Lange toverstaf,Een lange staf met wat magische kracht. Het schijnt dat de staf lang geleden door een magiër is gebruikt om de slapende kracht van edelstenen te doen ontwaken.
weapons,Weapons,Weapon_Spear_163,Zonanium speer+,"Een sterke, duurzame zonanium speer van de Zonais. Als je er een Zonai-werktuig of ander Zonai-materiaal aan hecht, krijgt de aanvalskracht een bonus."
weapons,Weapons,Weapon_Spear_164,Zonanium speer++,"Een zeer krachtige zonanium speer van de Zonais. Als je er een Zonai-werktuig of ander Zonai-materiaal aan hecht, krijgt de aanvalskracht een grote bonus."
weapons,Weapons,Weapon_Spear_166,Miasmaspeer,Men zegt dat je met deze afschrikwekkende speer iemands ziel kunt doorklieven in één treffer. Het lichaam van de drager wordt geleidelijk aan aangetast door miasma.
weapons,Weapons,Weapon_Spear_168,Lange stok,Een lange stok gemaakt van een afgesneden tak. De rechte vorm maakt het wapen ideaal om stoten mee uit te delen.
weapons,Weapons,Weapon_Spear_173,Werpspeer,"Een werpspeer met een aangetaste punt. Hij is niet meer scherp, maar heeft een perfecte balans zodat je hem ver kunt werpen."
weapons,Weapons,Weapon_Sword_001,Reizigerszwaard,"Een veelvoorkomend zwaard dat vooral wordt gebruikt om wilde dieren op afstand te houden. Vrij stevig, maar niet erg geschikt tegen monsters."
weapons,Weapons,Weapon_Sword_002,Soldatenzwaard,Het zwaard dat de soldaten in Kasteel Hyrule ooit gebruikten. Het is perfect om tegen monsters te gebruiken. Maakt snelle oplaad-aanvallen mogelijk.
weapons,Weapons,Weapon_Sword_003,Ridderzwaard,Ooit het zwaard van de ridders van Hyrule. Je kunt er krachtige aanvallen mee uitvoeren als je nog maar één hartje of minder hebt.
weapons,Weapons,Weapon_Sword_019,Bokoblin-arm,"Een Skelet-Bokoblin-arm die blijft bewegen, ook als hij niet aan de rest van het skelet vastzit. Een griezelig wapen dat nogal oud en breekbaar is, dus het gaat niet lang mee."
weapons,Weapons,Weapon_Sword_020,Lizalfos-arm,De bewegende botten van een Skelet-Lizalfos. Ziet er angstaanjagend uit als je hem op je rug draagt. Kan worden gebruikt als wapen.
weapons,Weapons,Weapon_Sword_021,Verroest zwaard,"Een roestig zwaard dat eeuwen geleden door een zwaardvechter is gebruikt. Uiterst breek-baar, maar het kan nog even dienst doen."
weapons,Weapons,Weapon_Sword_022,Houten lepel,"Een hulpmiddel voor het opscheppen van soep. Hij is gemaakt van robuust hout, dus je kunt er flinke tikken mee uitdelen."
weapons,Weapons,Weapon_Sword_024,Koninklijk zwaard,De koninklijke familie van Hyrule geeft dit zwaard aan ridders voor bijzondere verdiensten. Vergroot de kracht van een sprintaanval wanneer je perfect ontwijkt.
weapons,Weapons,Weapon_Sword_025,Woudzwaard,"Dit houten zwaard is door de Koroks gemaakt voor mensen. Het is niet geschikt voor directe aanvallen. Aangehecht plantaardig materiaal dat kan openbarsten, raakt nooit opgebruikt."
weapons,Weapons,Weapon_Sword_027,Zora-zwaard,Een uniek zwaard met een dun lemmet en Zora-versieringen. De aanvalskracht ervan is groter als het nat is. Ze zeggen dat je je bij gebruik 'als een Zora in het water voelt'.
weapons,Weapons,Weapon_Sword_029,Gerudo-kromzwaard,"Het meestgebruikte zwaard in Gerudo. Het benut de kracht van aangehecht materiaal optimaal, maar wint daardoor weinig aan duurzaamheid."
weapons,Weapons,Weapon_Sword_031,Verenkling,"Dit lichte, tweesnijdende zwaard is gesmeed zodat Rito-krijgers in de lucht snel kunnen aanvallen. Een zwaai ermee veroorzaakt een sterke windvlaag."
weapons,Weapons,Weapon_Sword_041,Achtvoudige tanto,Een traditioneel zwaard van de Sheikahs. Geen zwaard is dunner of scherper. Het maakt krachtigere sluipaanvallen mogelijk.
weapons,Weapons,Weapon_Sword_043,Fakkel,"Een fakkel die blijft branden als hij eenmaal is aangestoken. Hij gaat uit als je hem opbergt. Als je hem weer wilt gebruiken, zul je hem opnieuw moeten aansteken."
weapons,Weapons,Weapon_Sword_044,Tak,Een tak die je overal kunt vinden. Perfect om mee rond te zwiepen en je kunt hem ook gooien.
weapons,Weapons,Weapon_Sword_047,Sheikah-zwaard,"Een Sheikah-wapen met geavanceerde technologie gemaakt. Weinig duurzaam, maar heeft een grote aanvalskracht wanneer het wapen op het punt staat te breken."
weapons,Weapons,Weapon_Sword_051,Boemerang,Een wapen dat schijnt te zijn uitgevonden door de Koroks in het woud. Door de unieke vorm keert het terug als je ermee gooit.
weapons,Weapons,Weapon_Sword_052,Zwaard van de Zeven,"Het beroemde en geliefde zwaard van Urbosa. Volgens de geruchten leken de zwierige bewegingen die ze maakte als ze ermee zwaaide, nog het meest op een dans."
weapons,Weapons,Weapon_Sword_057,Hemelwit zwaard,"Een zwaard dat van de held uit de lucht schijnt te zijn geweest. Het heeft een opvallende witte kling. Als ermee wordt gezwaaid, gaat er een hemelse wind waaien."
weapons,Weapons,Weapon_Sword_058,Heldenzwaard,"Het zwaard dat ooit is gebruikt door de held van weleer. Als ermee wordt gezwaaid, voelt het zowel mysterieus als vertrouwd."
weapons,Weapons,Weapon_Sword_059,Zeebriesboemerang,Een boemerang die schijnt te zijn gebruikt door de held die het ruime sop koos. Hij ruikt een beetje naar zout.
weapons,Weapons,Weapon_Sword_070,Meesterzwaard,Het legendarische zwaard dat het Onheil verdrijft. Getrokken uit de lichtdraak en met de tijd geheeld. Het straalt met een heilige glans die de demonenkoning weerstand biedt.
weapons,Weapons,Weapon_Sword_070_Broken,Aangetast Meesterzwaard,Het zwaard dat het Onheil verdrijft. Het lemmet met zijn heilige kracht is nu aangetast door contact met het miasma onder Kasteel Hyrule.
weapons,Weapons,Weapon_Sword_101,Zonanium zwaard,"Een zonanium zwaard van de Zonais. Als je er een Zonai-werktuig of ander Zonai-materiaal aan hecht, krijgt de aanvalskracht een kleine bonus."
weapons,Weapons,Weapon_Sword_103,Houten stok,"Een stok gemaakt van een tak, aangepast voor een betere grip en een perfecte balans. Je kunt hem als wapen gebruiken."
weapons,Weapons,Weapon_Sword_105,Boemerang,Een aangetaste houten boemerang. Een handig wapen dat terugkeert nadat je het hebt gegooid. Zelfs in zijn huidige staat werkt hij nog naar behoren.
weapons,Weapons,Weapon_Sword_106,Reizigerszwaard,"Een standaardzwaard dat veelal door reizigers wordt gebruikt. Het lemmet is aangetast, maar je kunt er alsnog flink mee uithalen."
