type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,Походный лук,"Небольшой лук, который обычно берут с собой путешественники. Урон наносит скромный, но позволяет оставаться на безопасном расстоянии от врага."
bows,Bows and Arrows,Weapon_Bow_002,Боевой лук,"Настоящий военный лук. Наносит больше урона, чем луки, которыми пользуется мирное население. Сделан из дерева, поэтому его нужно беречь от огня."
bows,Bows and Arrows,Weapon_Bow_003,Колючий боколук,"Боколук, усиленный костями животных, несмотря на неказистый вид, наносит неплохой урон и служит дольше, чем обычный боколук."
bows,Bows and Arrows,Weapon_Bow_004,Боколук,"Примитивный лук бокоблинов. По сути, это первая попавшаяся ветка, к которой привязали бечевку. Наносит мало урона, но легок и прост в использовании."
bows,Bows and Arrows,Weapon_Bow_006,Завролук,"Деревянный лук заврофосов. Усилен костями крупной рыбы, благодаря чему наносит больше урона, чем обычные луки из дерева."
bows,Bows and Arrows,Weapon_Bow_009,Лук левра,"Этот лук изготовлен из необработанного металла. Выпускает стрелы веером — по несколько сразу, что удобно, если враг передвигается очень быстро."
bows,Bows and Arrows,Weapon_Bow_011,Усиленный завролук,"Завролук, рукоять которого укреплена металлом. Эти луки наносят приличный урон, потому что их делают из упругих веток деревьев, растущих у воды."
bows,Bows and Arrows,Weapon_Bow_013,Лесной лук,Этот на вид простой деревянный лук с тетивой из растительных волокон изготовлен короками для хайлийцев. Выпускает несколько стрел сразу.
bows,Bows and Arrows,Weapon_Bow_014,Лук зора,"С такими луками зора ходят на рыбалку. Не слишком мощный, но служит весьма долго благодаря особому металлу, из которого он изготовлен."
bows,Bows and Arrows,Weapon_Bow_015,Лук герудо,"Лук герудо с великолепно украшенными плечами. Используется и для охоты, и на войне. Позволяет целиться и стрелять с большого расстояния."
bows,Bows and Arrows,Weapon_Bow_016,Ласточий лук,"Этот лук пользуется у рито наибольшей популярностью. Тетива устроена так, что натягивается необычайно легко — незаменимое свойство в воздушном бою."
bows,Bows and Arrows,Weapon_Bow_017,Соколиный лук,"Превосходнейший лук, изготовленный настоящим мастером. Таким пользуются только самые талантливые воины рито. Обладает высокой скорострельностью."
bows,Bows and Arrows,Weapon_Bow_026,Лук могучего левра,"Усиленный лук левра тяжелее и прочнее обычного. Тетива металлическая, так что обычному воину натянуть ее просто не под силу."
bows,Bows and Arrows,Weapon_Bow_027,Драконий боколук,"Боколук, усиленный костями драконов. Вот что получается у бокоблинов, когда они подходят к работе ответственно. Наносит приличный урон."
bows,Bows and Arrows,Weapon_Bow_028,Большой орлиный лук,"Уникальный лук, принадлежавший Воину народа рито. Говорят, в воздушном бою Ревали выпускал стрелы так быстро, что не оставлял противнику никакого шанса."
bows,Bows and Arrows,Weapon_Bow_029,Лук средоточия,"Традиционный лук шиика. Говорят, если сосредоточиться перед выстрелом, так чтобы лук и сердце стали едины, то даже отдаленные цели покажутся близкими."
bows,Bows and Arrows,Weapon_Bow_030,Стальной завролук,"Таким луком пользуются только лучшие заврофосы-лучники. Усилен металлом в нескольких местах, поэтому довольно тяжел, зато и служит намного дольше."
bows,Bows and Arrows,Weapon_Bow_032,Лук ужасного левра,"Лук, изготовленный из металла, который добывают лишь на вершине Горы Смерти. Выпускает сразу несколько стрел. Врага не спасет даже самая прочная броня."
bows,Bows and Arrows,Weapon_Bow_033,Гвардейский лук,"Прототип, созданный шиика по древней технологии для боя с Ганоном. Очень мощный и скорострельный, но срок службы оставляет желать лучшего."
bows,Bows and Arrows,Weapon_Bow_035,Рыцарский лук,"Такими луками пользовались рыцари замка Хайрул. Очень надежен и прост в использовании. Сделан из металла, поэтому служит весьма долго."
bows,Bows and Arrows,Weapon_Bow_036,Королевский лук,"Такими луками король награждал самых талантливых стрелков среди хайлийских рыцарей. Этот лук не только красив, но и имеет превосходные боевые свойства."
bows,Bows and Arrows,Weapon_Bow_038,Деревянный лук,"Простой деревянный лук для охоты на небольших животных. Чтобы идти с ним на монстров, нужно быть либо очень храбрым, либо очень глупым."
bows,Bows and Arrows,Weapon_Bow_040,Двойной лук,"Таким луком пользуются только лучшие лучники клана Ига. Чтобы наверняка подстрелить жертву, лук устроен так, что может выпускать сразу две стрелы."
bows,Bows and Arrows,Weapon_Bow_072,Лук Сумрака,"Этот лук принадлежал королевской семье. Говорят, некая принцесса сражалась с его помощью против монстров из Сумрака. Его стрелы летят прямо, как лучи света."
bows,Bows and Arrows,Weapon_Bow_101,Зонаровый лук,"Лук зонаи, использующий для выстрела энергию. Чем сильнее натягивать тетиву, тем больше энергии потребит лук и тем дальше полетит стрела."
bows,Bows and Arrows,Weapon_Bow_104,Лук голема,"Лук голема-капитана. Имеет простую конструкцию, но зато изготовлен из огнестойкого материала, чем выгодно отличается от деревянных аналогов."
bows,Bows and Arrows,Weapon_Bow_105,Лук голема+,"Лук голема-капитана. Огнестойкая и усиленная модель, позволяющая делать выстрелы большей мощности."
