type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,旅人之弓,旅人防身用的小型弓。有箭的話可以攻擊一定距離以外的敵人。
bows,Bows and Arrows,Weapon_Bow_002,士兵之弓,提高攻擊力的戰鬥用弓。可以給予目標較大的傷害。因為是木頭做的，所以一著火就會燒起來。
bows,Bows and Arrows,Weapon_Bow_003,尖刺波克弓,綁上動物骨頭強化後的波克弓。做工粗糙，但是很輕，而且容易上手。變得比較耐用，射擊的威力也增加了。
bows,Bows and Arrows,Weapon_Bow_004,波克弓,波克布林使用的簡陋的弓。因為只是將弓弦繃在隨處可見的樹枝上，所以沒辦法期待它的威力。
bows,Bows and Arrows,Weapon_Bow_006,蜥蜴弓,蜥蜴戰士用木頭製作的弓。和大型魚的骨頭組合而成，比起普通的木弓破壞力更強。
bows,Bows and Arrows,Weapon_Bow_009,萊尼爾之弓,萊尼爾攜帶的堅固金屬弓。可以同時射出複數支箭，分散的軌道最適合用來射落行動迅速的敵人。
bows,Bows and Arrows,Weapon_Bow_011,強力蜥蜴弓,手柄使用金屬強化過的蜥蜴弓。使用了生長在水邊的樹木枝幹做成弓身，擁有不可小覷的射擊性能。
bows,Bows and Arrows,Weapon_Bow_013,森民之弓,據說是克洛格族為了人類而製作的弓。用優質的木材和堅固的草藤製作而成。與其樸素外表相反，可以一次發射好幾支箭。
bows,Bows and Arrows,Weapon_Bow_014,卓拉之弓,卓拉族在打魚時等用的弓。射擊性能比較沒有那麼好，但用特殊的金屬製成，所以比外表看起來還要耐用。
bows,Bows and Arrows,Weapon_Bow_015,格魯德之弓,格魯德族所使用的弓，上頭有著細緻的裝飾。這把弓是為了在廣闊沙漠中狩獵或戰鬥而設計，可以瞄準並射擊遠處的物體。
bows,Bows and Arrows,Weapon_Bow_016,飛燕弓,利特族平常使用的弓。適合在空中射擊。弓弦經過設計，和普通的弓比起來更好拉開。
bows,Bows and Arrows,Weapon_Bow_017,遊隼弓,利特族名匠製作的精品，善於空中戰的利特族戰士愛用的弓。和普通的弓比起來更好拉開。
bows,Bows and Arrows,Weapon_Bow_026,獸王弓,相當沉重的萊尼爾之弓。不只是弓身，連弓弦也是用強韌的金屬製成。對於普通的人類來說很難拉開。
bows,Bows and Arrows,Weapon_Bow_027,龍骨波克弓,與化石骨頭組成強化後的波克弓。好像是用波克布林嚴選的材料製成，射擊性能相當不錯。
bows,Bows and Arrows,Weapon_Bow_028,大鷲弓,英傑力巴爾所攜帶的稀有名弓。據說在空中戰中，從沒有人贏過風一般疾速拉開此弓的力巴爾。
bows,Bows and Arrows,Weapon_Bow_029,一心之弓,希卡族流傳至今的弓。集中精神拉開此弓，就能夠像瞄準近處的物體一樣，輕易射中遠處的敵人。
bows,Bows and Arrows,Weapon_Bow_030,鋼鐵蜥蜴弓,只有善於使弓的蜥蜴戰士才能持有這把弓。使用了大量金屬強化其本體，有一定的重量，但也更耐用。
bows,Bows and Arrows,Weapon_Bow_032,獸神弓,萊尼爾的鋼弓，以死亡之山山頂的特殊金屬製成。可以一次射出複數支箭，具有可怕的威力，能像射中紙一樣穿透很厚的鎧甲。
