type,category,item_id,item_name,item_description
bows,Bows and Arrows,Weapon_Bow_001,旅人之弓,旅人防身用的小型弓。有箭的话，能攻击一定距离外的敌人。
bows,Bows and Arrows,Weapon_Bow_002,士兵之弓,提高了攻击力的战斗用弓。可以给予较大的伤害。因为是木头做的，所以一旦着火就会烧掉。
bows,Bows and Arrows,Weapon_Bow_003,尖刺波克弓,绑上动物的骨头，经过强化的波克弓。做工粗糙，但是很轻，且容易使用。耐久性增加，射击的威力也提高了。
bows,Bows and Arrows,Weapon_Bow_004,波克弓,波克布林所使用的简朴的弓。因为只是用随手可得的树枝绷紧弓弦，所以不太能期待它的射击威力。
bows,Bows and Arrows,Weapon_Bow_006,蜥蜴弓,蜥蜴战士制作的木制弓。和大型鱼的骨头组合后制作而成。比单纯的木制弓更具有破坏力。
bows,Bows and Arrows,Weapon_Bow_009,莱尼尔之弓,莱尼尔所携带的坚固的金属制弓。可以同时射出多支箭，密集的箭雨最适合射落行动迅速的敌人。
bows,Bows and Arrows,Weapon_Bow_011,强力蜥蜴弓,手握处用金属强化过的蜥蜴弓。弓本身使用了生长在水边、易弯曲的树的树枝，拥有不可小觑的射击性能。
bows,Bows and Arrows,Weapon_Bow_013,森民之弓,据说是克洛格族为人类而制作的弓。用优质的木材和结实的草藤制作而成。与简朴的外表相反，可以一次射好几支箭。
bows,Bows and Arrows,Weapon_Bow_014,卓拉之弓,卓拉族用于打鱼的弓。射击性能并没那么好，但是用特殊的金属制成，耐久性比看起来要优秀。
bows,Bows and Arrows,Weapon_Bow_015,格鲁德之弓,格鲁德族所使用的有着细致装饰的弓。这把弓是为在广阔的沙漠狩猎或战斗而设计，可以瞄准射击远处的物体。
bows,Bows and Arrows,Weapon_Bow_016,飞燕弓,利特族平常使用的弓。适合在空中射击。弓弦经过设计，可以比普通的弓更快拉开。
bows,Bows and Arrows,Weapon_Bow_017,游隼弓,利特族的名匠所制作的精品弓。善于空战的利特族战士很喜欢使用。能比普通的弓更快拉开。
bows,Bows and Arrows,Weapon_Bow_026,兽王弓,制作得相当厚重的莱尼尔之弓。不只是弓身，弓弦也是用强韧的金属制作而成。对于普通的人类来说，很难拉开。
bows,Bows and Arrows,Weapon_Bow_027,龙骨波克弓,与化石的骨头组合，经过强化的波克弓。好像是用波克布林严选的材料制作而成，射击性能相当不错。
bows,Bows and Arrows,Weapon_Bow_028,大鹫弓,英杰力巴尔所携带的稀有名弓。据说，以疾风般的速度在空战中射这把弓的力巴尔，无人能敌。
bows,Bows and Arrows,Weapon_Bow_029,一心之弓,希卡族传下来的弓，集中精神拉这把弓，就能够像瞄准近处的物体一样，轻易地射击远处的敌人。
bows,Bows and Arrows,Weapon_Bow_030,钢铁蜥蜴弓,即使是蜥蜴战士，也只有善于使弓的个体才能持有这把弓。为了强化而大量使用了金属，有一定重量，但耐久性也高。
bows,Bows and Arrows,Weapon_Bow_032,兽神弓,用取自死亡之山山顶的特殊金属制成的莱尼尔的钢弓。一次射出多支箭，拥有可怕的威力，很厚的铠甲也能像纸一样穿透。
bows,Bows and Arrows,Weapon_Bow_033,近卫之弓,希卡族为了应对大灾厄而制作的弓。因为是使用了古代技术的实验性武器，所以拥有很高的射击力和速度，但耐久力变低了。
bows,Bows and Arrows,Weapon_Bow_035,骑士之弓,海拉鲁城堡的骑士们所使用的弓。没有特殊之处，易于使用，可以稳定地射击。因为是金属制的，耐久性也很好。
bows,Bows and Arrows,Weapon_Bow_036,王族之弓,由海拉鲁国王赐予海拉鲁骑士中弓术特别优秀者的弓。奢华的设计引人注目，但射击性能也很优秀。
bows,Bows and Arrows,Weapon_Bow_038,木之弓,为了猎捕小型动物而制作的木制弓。要和怪物战斗的话，不太可靠。
bows,Bows and Arrows,Weapon_Bow_040,二连弓,依盖队中擅长弓术的成员所使用的弓。为了确保将瞄准的敌人一击毙命，设计成了一次能射出2支箭。
bows,Bows and Arrows,Weapon_Bow_072,黄昏之弓,自古以来传承于海拉鲁王族的弓。据说对抗黄昏怪物的公主曾使用过，射出的箭以强力及长射程为傲。
bows,Bows and Arrows,Weapon_Bow_101,左纳尼乌姆之弓,左纳乌族的弓，射击时会消耗能源。拉弓蓄力的时间越长，所消耗的能源就越多，箭射出的距离也越远。
bows,Bows and Arrows,Weapon_Bow_104,魔像之弓,队长魔像所装备的弓。虽然结构简单，但由于使用了不可燃的材料，不会像木制弓一样燃烧。
bows,Bows and Arrows,Weapon_Bow_105,魔像之强弓,队长魔像所装备的硬弓。不会因高温而燃烧，且本身强度更高，可以射出更强力的箭。
bows,Bows and Arrows,Weapon_Bow_106,魔像之刚弓,队长魔像所装备的强弓。具有不会燃烧的特性，结构也更为复杂。弓弦非常硬，用一般的力量难以拉开。
bows,Bows and Arrows,Weapon_Bow_107,残旧的木之弓,构造古老的木制弓。为狩猎动物而设计，所以威力并不大。
bows,Bows and Arrows,Weapon_Bow_166,魔王之弓,魔王爱用的魔弓，发挥的性能会根据使用者的力量发生变化。心心的最大值越高，攻击力越高。
weapons,Weapons,Weapon_Lsword_001,旅人双手剑,在各地旅行的冒险者爱用的双手剑。在和怪物战斗时，那巨大的重量可以将敌人的盾牌击飞。
weapons,Weapons,Weapon_Lsword_002,士兵双手剑,为适用战斗而改良的双手剑。设计得更轻巧，以便让人更易挥舞。可减少蓄力攻击时消耗的精力。
weapons,Weapons,Weapon_Lsword_003,骑士双手剑,守卫海拉鲁城堡的骑士中，力量十足之人所携带的大剑。当心心少于1个时，可以释放强力攻击。
weapons,Weapons,Weapon_Lsword_019,莫力布林之骨,即使只剩手臂也仍然能动的莫力布林的骨头。又长又粗的骨头作为武器使用，具有很强的打击力，但是也非常脆弱，容易损坏。
weapons,Weapons,Weapon_Lsword_020,生锈的双手剑,长久放置后生锈了的大剑。可以作为武器使用，但耐久性很低，用个几次就很容易坏掉。
weapons,Weapons,Weapon_Lsword_024,王族双手剑,被赐予海拉鲁王族直属部队的大剑。挥动时的威力强大，拥有在完美回避时能发起强力突击攻击的特性。
weapons,Weapons,Weapon_Lsword_027,卓拉大剑,卓拉族使用特殊金属制造的大剑。由于卓拉族爱用枪，几乎没什么人使用，被水沾湿时能够发挥出高攻击力。
weapons,Weapons,Weapon_Lsword_029,格鲁德双手剑,在格鲁德族中剑术出众者装备的大剑。在剑尖装上材料后，便能将其力量发挥至极限，但同时会使剑更易损坏。
weapons,Weapons,Weapon_Lsword_036,劈石剑,用很厚很硬的金属制成的鼓隆的双手剑。没有剑刃，所以完全不锋利，但那硬度和重量最适合采矿。
weapons,Weapons,Weapon_Lsword_038,船桨,装备在渔船上的工具。原本不是武器，但可以用来防身。用很耐水的木材做成，相当结实。
weapons,Weapons,Weapon_Lsword_041,戒心长刀,只在希卡族流传的单刃剑。用传统技术仔细地锻造而成。集中精神后拔刀一挥，便能释放出真空的刀刃。
weapons,Weapons,Weapon_Lsword_045,农用锄头,用来挖土耕田的农具。为了经得起田地工作而制作得很结实。根据使用方法的不同，也会成为武器。
weapons,Weapons,Weapon_Lsword_047,近卫双手剑,希卡族集古代技术之精粹所造的大剑。耐久性不佳，但拥有在即将损坏之际发挥强大攻击力的特性。
weapons,Weapons,Weapon_Lsword_051,大回旋镖,必须用双手才能挥动的巨大回旋镖。把原本狩猎用的东西改良为战斗用，弯曲的内侧有刃，使用起来非常难。
weapons,Weapons,Weapon_Lsword_054,碎岩巨剑,英杰达尔克尔所携带的最硬的大剑。达尔克尔能轻松挥舞这把大剑，而人类要熟练使用的话，必须要经过一番苦练。
weapons,Weapons,Weapon_Lsword_057,黄昏之大剑,据说是从很久以前的海拉鲁王国流传下来的细长大剑。那剑身闪耀着神秘的白色光辉。
weapons,Weapons,Weapon_Lsword_059,大鼓隆之剑,据说是鼓隆的名匠为穿越时空而来的勇者所打造的传说的钢剑。拥有令工匠的技艺熠熠生辉的出色锋利度。
weapons,Weapons,Weapon_Lsword_060,鬼神大剑,据说是落月世界的勇者所拥有的异形大剑。听说，拿着这把剑的人战斗的时候就如同鬼神一般勇猛。
weapons,Weapons,Weapon_Lsword_101,左纳尼乌姆之大剑,左纳乌族的大型剑，材料中使用了左纳尼乌姆。装上左纳乌装置或左纳乌文明的材料，就能略微增加攻击力。
weapons,Weapons,Weapon_Lsword_103,粗棒,从大树上砍落的木棒。并不是很结实，但前端很重，因此能够靠挥舞它击飞盾牌。
weapons,Weapons,Weapon_Lsword_106,旅人双手剑,在各地旅行的冒险者爱用的通用双手剑。已经腐朽，因而并不锋利，但可以将敌人举起的盾牌击飞。
weapons,Weapons,Weapon_Lsword_108,结实粗棒,从结实的树上砍落的坚硬木棒。是生长得歪歪扭扭的粗壮枝干，但和外观相反，耐久度很高。
weapons,Weapons,Weapon_Lsword_109,多节粗棒,从接近树干的部分砍下的木棒。经过干燥后硬度增加，攻击力很高，甚至难以相信是木制的。
weapons,Weapons,Weapon_Lsword_112,士兵双手剑,轻薄的金属制双手剑，供城内的士兵使用。由于重量较轻，即使挥舞也不会轻易感到累，能减少蓄力攻击时消耗的精力。
weapons,Weapons,Weapon_Lsword_113,骑士双手剑,守卫城堡的骑士所携带的双手剑。与守护重要之物的心愿相呼应，当心心减少至仅剩1个时可以释放强力攻击。
weapons,Weapons,Weapon_Lsword_114,戒心长刀,刀身朽坏的单刃大剑。由于已经腐朽，锋利度大幅下降，但集中精神后拔刀一挥，便能释放出真空的刀刃。
weapons,Weapons,Weapon_Lsword_124,王族双手剑,王族直属部队受赐的大剑，使用难度很高，但针对熟练的使用者做出了一些改造，在完美回避时能发起强力的突击攻击。
weapons,Weapons,Weapon_Lsword_127,卓拉大剑,剑身腐朽的卓拉族大剑。使用了能在潮湿状态下发挥高攻击力的特殊金属，适合在水边的战斗中使用。
weapons,Weapons,Weapon_Lsword_129,格鲁德双手剑,剑身腐朽的格鲁德族大剑。很容易将力道注入剑尖，因而通过牺牲剑的耐久性，能将装上的材料威力发挥至极致。
weapons,Weapons,Weapon_Lsword_136,劈石剑,原本是以活用其重量打击对手为主的武器。虽然已经腐朽，但用于击碎并采掘岩石再适合不过了。
